"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2021 JIF,Eigenfactor
"ACS Energy Letters","ACS ENERGY LETT","2380-8195","2380-8195","CHEMISTRY, PHYSICAL - SCIE","23.991","0.085",
"Nature Cancer","NAT CANCER","N/A","2662-1347","ONCOLOGY - SCIE","23.177","0.008",
"Journal of Hematology & Oncology","J HEMATOL ONCOL","N/A","1756-8722","ONCOLOGY - SCIE","23.168","0.022",
"Trends in Chemistry","TRENDS CHEM","N/A","2589-5974","CHEMISTRY, MULTIDISCIPLINARY - SCIE","22.448","0.007",
"Molecular Plant","MOL PLANT","1674-2052","1752-9867","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","21.949","0.023",
"Carbon Energy","CARBON ENERGY","N/A","2637-9368","CHEMISTRY, PHYSICAL - SCIE","21.556","0.002",
"Energy Storage Materials","ENERGY STORAGE MATER","2405-8297","2405-8289","CHEMISTRY, PHYSICAL - SCIE","20.831","0.042",
"Journal of Thoracic Oncology","J THORAC ONCOL","1556-0864","1556-1380","ONCOLOGY - SCIE","20.121","0.04",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, MULTIDISCIPLINARY - SCIE","19.924","0.23",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, PHYSICAL - SCIE","19.924","0.23",
"Molecular Cell","MOL CELL","1097-2765","1097-4164","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","19.328","0.139",
"Trends in Cancer","TRENDS CANCER","2405-8025","2405-8033","ONCOLOGY - SCIE","19.161","0.014",
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","19.16","0.337",
"Nano Energy","NANO ENERGY","2211-2855","2211-3282","CHEMISTRY, PHYSICAL - SCIE","19.069","0.124",
"Nano Today","NANO TODAY","1748-0132","1878-044X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","18.962","0.01",
"ACS Central Science","ACS CENTRAL SCI","2374-7943","2374-7951","CHEMISTRY, MULTIDISCIPLINARY - SCIE","18.728","0.037",
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","1545-9993","1545-9985","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","18.361","0.047",
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","0966-842X","1878-4380","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","18.23","0.02",
"ACS Nano","ACS NANO","1936-0851","1936-086X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","18.027","0.229",
"ACS Nano","ACS NANO","1936-0851","1936-086X","CHEMISTRY, PHYSICAL - SCIE","18.027","0.229",
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","1359-6101","1879-0305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","17.66","0.006",
"Advanced Science","ADV SCI","N/A","2198-3844","CHEMISTRY, MULTIDISCIPLINARY - SCIE","17.521","0.068",
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS","J PHOTOCH PHOTOBIO C","1389-5567","1873-2739","CHEMISTRY, PHYSICAL - SCIE","17.176","0.002",
"Nature Protocols","NAT PROTOC","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS - SCIE","17.021","0.054",
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","1044-579X","1096-3650","ONCOLOGY - SCIE","17.012","0.012",
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","ANGEW CHEM INT EDIT","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY - SCIE","16.823","0.47",
"Journal of the American Chemical Society","J AM CHEM SOC","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY - SCIE","16.383","0.454",
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","0098-2997","1872-9452","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","16.337","0.006",
"Annual Review of Physical Chemistry","ANNU REV PHYS CHEM","0066-426X","1545-1593","CHEMISTRY, PHYSICAL - SCIE","16.314","0.005",
"Nature Chemical Biology","NAT CHEM BIOL","1552-4450","1552-4469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","16.284","0.045",
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","1936-878X","1876-7591","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","16.051","0.037",
"Materials Horizons","MATER HORIZ","2051-6347","2051-6355","CHEMISTRY, MULTIDISCIPLINARY - SCIE","15.717","0.022",
"Small Methods","SMALL METHODS","2366-9608","2366-9608","CHEMISTRY, PHYSICAL - SCIE","15.367","0.018",
"Cancer Communications","CANCER COMMUN","N/A","2523-3548","ONCOLOGY - SCIE","15.283","0.004",
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","15.272","0.014",
"ADVANCES IN COLLOID AND INTERFACE SCIENCE","ADV COLLOID INTERFAC","0001-8686","1873-3727","CHEMISTRY, PHYSICAL - SCIE","15.19","0.012",
"Small","SMALL","1613-6810","1613-6829","CHEMISTRY, MULTIDISCIPLINARY - SCIE","15.153","0.108",
"Small","SMALL","1613-6810","1613-6829","CHEMISTRY, PHYSICAL - SCIE","15.153","0.108",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","15.111","0.011",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","CHEMISTRY, MEDICINAL - SCIE","15.111","0.011",
"TRAC-TRENDS IN ANALYTICAL CHEMISTRY","TRAC-TREND ANAL CHEM","0165-9936","1879-3142","CHEMISTRY, ANALYTICAL - SCIE","14.908","0.027",
"PROGRESS IN LIPID RESEARCH","PROG LIPID RES","0163-7827","1873-2194","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","14.673","0.004",
"Journal of Materials Chemistry A","J MATER CHEM A","2050-7488","2050-7496","CHEMISTRY, PHYSICAL - SCIE","14.511","0.24",
"BIOLOGICAL REVIEWS","BIOL REV","1464-7931","1469-185X","BIOLOGY - SCIE","14.355","0.019",
"TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","0968-0004","1362-4326","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","14.264","0.022",
"BRIEFINGS IN BIOINFORMATICS","BRIEF BIOINFORM","1467-5463","1477-4054","BIOCHEMICAL RESEARCH METHODS - SCIE","13.994","0.02",
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","1361-8415","1361-8423","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","13.828","0.02",
"CLINICAL CANCER RESEARCH","CLIN CANCER RES","1078-0432","1557-3265","ONCOLOGY - SCIE","13.801","0.12",
"EMBO JOURNAL","EMBO J","0261-4189","1460-2075","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.783","0.054",
"ACS Catalysis","ACS CATAL","2155-5435","2155-5435","CHEMISTRY, PHYSICAL - SCIE","13.7","0.166",
"Trends in Environmental Analytical Chemistry","TRENDS ENVIRON ANAL","2214-1588","2214-1588","CHEMISTRY, ANALYTICAL - SCIE","13.622","0.001",
"Environmental Chemistry Letters","ENVIRON CHEM LETT","1610-3653","1610-3661","CHEMISTRY, MULTIDISCIPLINARY - SCIE","13.615","0.007",
"CANCER TREATMENT REVIEWS","CANCER TREAT REV","0305-7372","1532-1967","ONCOLOGY - SCIE","13.608","0.015",
"CATALYSIS REVIEWS-SCIENCE AND ENGINEERING","CATAL REV","0161-4940","1520-5703","CHEMISTRY, PHYSICAL - SCIE","13.6","0.001",
"Journal of Energy Chemistry","J ENERGY CHEM","2095-4956","2095-4956","CHEMISTRY, APPLIED - SCIE","13.599","0.017",
"Journal of Energy Chemistry","J ENERGY CHEM","2095-4956","2095-4956","CHEMISTRY, PHYSICAL - SCIE","13.599","0.017",
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","1359-4184","1476-5578","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.437","0.049",
"SURFACE SCIENCE REPORTS","SURF SCI REP","0167-5729","1879-274X","CHEMISTRY, PHYSICAL - SCIE","13.417","0.002",
"Annual Review of Cancer Biology-Series","ANNU REV CANCER BIOL","2472-3428","2472-3428","ONCOLOGY - SCIE","13.34","0.003",
"CANCER RESEARCH","CANCER RES","0008-5472","1538-7445","ONCOLOGY - SCIE","13.312","0.09",
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","1522-8517","1523-5866","ONCOLOGY - SCIE","13.029","0.024",
"Chinese Journal of Catalysis","CHINESE J CATAL","0253-9837","1872-2067","CHEMISTRY, APPLIED - SCIE","12.92","0.011",
"Chinese Journal of Catalysis","CHINESE J CATAL","0253-9837","1872-2067","CHEMISTRY, PHYSICAL - SCIE","12.92","0.011",
"LEUKEMIA","LEUKEMIA","0887-6924","1476-5551","ONCOLOGY - SCIE","12.897","0.053",
"Green Energy & Environment","GREEN ENERGY ENVIRON","2096-2797","2468-0257","CHEMISTRY, PHYSICAL - SCIE","12.781","0.003",
"Molecular Systems Biology","MOL SYST BIOL","1744-4292","1744-4292","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","12.744","0.015",
"Journal of the National Comprehensive Cancer Network","J NATL COMPR CANC NE","1540-1405","1540-1413","ONCOLOGY - SCIE","12.693","0.023",
"JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH","J EXP CLIN CANC RES","N/A","1756-9966","ONCOLOGY - SCIE","12.658","0.024",
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","CHEMISTRY, ANALYTICAL - SCIE","12.545","0.064",
"Journal for ImmunoTherapy of Cancer","J IMMUNOTHER CANCER","N/A","2051-1426","ONCOLOGY - SCIE","12.485","0.039",
"Liver Cancer","LIVER CANCER","2235-1795","1664-5553","ONCOLOGY - SCIE","12.43","0.003",
"Annual Review of Analytical Chemistry","ANNU REV ANAL CHEM","1936-1327","1936-1335","CHEMISTRY, ANALYTICAL - SCIE","12.4","0.003",
"MEDICINAL RESEARCH REVIEWS","MED RES REV","0198-6325","1098-1128","CHEMISTRY, MEDICINAL - SCIE","12.388","0.007",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, MULTIDISCIPLINARY - SCIE","12.262","0.169",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, PHYSICAL - SCIE","12.262","0.169",
"npj Computational Materials","NPJ COMPUT MATER","N/A","2057-3960","CHEMISTRY, PHYSICAL - SCIE","12.256","0.016",
"EcoMat","ECOMAT","N/A","2567-3173","CHEMISTRY, PHYSICAL - SCIE","12.213","0.001",
"EXPERIMENTAL AND MOLECULAR MEDICINE","EXP MOL MED","1226-3613","2092-6413","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","12.172","0.017",
"PLANT CELL","PLANT CELL","1040-4651","1532-298X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","12.085","0.03",
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","12.073","0.026",
"Cancer Immunology Research","CANCER IMMUNOL RES","2326-6066","2326-6074","ONCOLOGY - SCIE","12.02","0.023",
"JNCI-Journal of the National Cancer Institute","JNCI-J NATL CANCER I","0027-8874","1460-2105","ONCOLOGY - SCIE","11.816","0.033",
"Nanoscale Horizons","NANOSCALE HORIZ","2055-6756","2055-6764","CHEMISTRY, PHYSICAL - SCIE","11.684","0.008",
"BIOSCIENCE","BIOSCIENCE","0006-3568","1525-3244","BIOLOGY - SCIE","11.572","0.012",
"FOOD HYDROCOLLOIDS","FOOD HYDROCOLLOID","0268-005X","1873-7137","CHEMISTRY, APPLIED - SCIE","11.504","0.034",
"Wiley Interdisciplinary Reviews-Computational Molecular Science","WIRES COMPUT MOL SCI","1759-0876","1759-0884","CHEMISTRY, MULTIDISCIPLINARY - SCIE","11.5","0.009",
"JOURNAL OF CONTROLLED RELEASE","J CONTROL RELEASE","0168-3659","1873-4995","CHEMISTRY, MULTIDISCIPLINARY - SCIE","11.467","0.038",
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","0304-419X","1879-2561","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.414","0.007",
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","0304-419X","1879-2561","ONCOLOGY - SCIE","11.414","0.007",
"Small Structures","SMALL STRUCT","N/A","2688-4062","CHEMISTRY, PHYSICAL - SCIE","11.343","0.001",
"CARBON","CARBON","0008-6223","1873-3891","CHEMISTRY, PHYSICAL - SCIE","11.307","0.07",
"Cell Systems","CELL SYST","2405-4712","2405-4720","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.091","0.033",
"JOURNAL OF NUCLEAR MEDICINE","J NUCL MED","0161-5505","1535-5667","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","11.082","0.029",
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","0278-0062","1558-254X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","11.037","0.034",
"GREEN CHEMISTRY","GREEN CHEM","1463-9262","1463-9270","CHEMISTRY, MULTIDISCIPLINARY - SCIE","11.034","0.053",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.9","0.106",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOLOGY - SCIE","10.9","0.106",
"Redox Biology","REDOX BIOL","2213-2317","2213-2317","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.787","0.024",
"CLINICAL NUCLEAR MEDICINE","CLIN NUCL MED","0363-9762","1536-0229","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","10.782","0.006",
"International Journal of Biological Sciences","INT J BIOL SCI","1449-2288","1449-2288","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.75","0.015",
"Carbohydrate Polymers","CARBOHYD POLYM","0144-8617","1879-1344","CHEMISTRY, APPLIED - SCIE","10.723","0.069",
"CHEMISTRY OF MATERIALS","CHEM MATER","0897-4756","1520-5002","CHEMISTRY, PHYSICAL - SCIE","10.508","0.111",
"MATRIX BIOLOGY","MATRIX BIOL","0945-053X","1569-1802","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.447","0.009",
"Science China-Life Sciences","SCI CHINA LIFE SCI","1674-7305","1869-1889","BIOLOGY - SCIE","10.384","0.011",
"CURRENT OPINION IN BIOTECHNOLOGY","CURR OPIN BIOTECH","0958-1669","1879-0429","BIOCHEMICAL RESEARCH METHODS - SCIE","10.279","0.016",
"Nano Research","NANO RES","1998-0124","1998-0000","CHEMISTRY, PHYSICAL - SCIE","10.269","0.032",
"Science China-Chemistry","SCI CHINA CHEM","1674-7291","1869-1870","CHEMISTRY, MULTIDISCIPLINARY - SCIE","10.152","0.011",
"npj Precision Oncology","NPJ PRECIS ONCOL","N/A","2397-768X","ONCOLOGY - SCIE","10.123","0.003",
"INVESTIGATIVE RADIOLOGY","INVEST RADIOL","0020-9996","1536-0210","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","10.065","0.008",
"EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING","EUR J NUCL MED MOL I","1619-7070","1619-7089","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","10.057","0.025",
"EUROPEAN JOURNAL OF CANCER","EUR J CANCER","0959-8049","1879-0852","ONCOLOGY - SCIE","10.002","0.044",
"Chemical Science","CHEM SCI","2041-6520","2041-6539","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.969","0.12",
"JOURNAL OF COLLOID AND INTERFACE SCIENCE","J COLLOID INTERF SCI","0021-9797","1095-7103","CHEMISTRY, PHYSICAL - SCIE","9.965","0.059",
"Frontiers of Medicine","FRONT MED-PRC","2095-0217","2095-0225","ONCOLOGY - SCIE","9.927","0.005",
"JOURNAL OF PATHOLOGY","J PATHOL","0022-3417","1096-9896","ONCOLOGY - SCIE","9.883","0.015",
"Physics of Life Reviews","PHYS LIFE REV","1571-0645","1873-1457","BIOLOGY - SCIE","9.833","0.003",
"Blood Cancer Journal","BLOOD CANCER J","2044-5385","2044-5385","ONCOLOGY - SCIE","9.812","0.012",
"JOURNAL OF POWER SOURCES","J POWER SOURCES","0378-7753","1873-2755","CHEMISTRY, PHYSICAL - SCIE","9.794","0.091",
"CANCER LETTERS","CANCER LETT","0304-3835","1872-7980","ONCOLOGY - SCIE","9.756","0.034",
"Science Signaling","SCI SIGNAL","1945-0877","1937-9145","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.714","0.02",
"Annual Review of Chemical and Biomolecular Engineering","ANNU REV CHEM BIOMOL","1947-5438","1947-5446","CHEMISTRY, APPLIED - SCIE","9.7","0.003",
"Photoacoustics","PHOTOACOUSTICS","2213-5979","2213-5979","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","9.656","0.003",
"ACS Sensors","ACS SENSORS","2379-3694","2379-3694","CHEMISTRY, ANALYTICAL - SCIE","9.618","0.024",
"ACS Sensors","ACS SENSORS","2379-3694","2379-3694","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.618","0.024",
"Cell and Bioscience","CELL BIOSCI","N/A","2045-3701","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.597","0.005",
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.593","0.059",
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOLOGY - SCIE","9.593","0.059",
"Environmental Science-Nano","ENVIRON SCI-NANO","2051-8153","2051-8161","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.473","0.014",
"PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY","PROG NUCL MAG RES SP","0079-6565","1873-3301","CHEMISTRY, PHYSICAL - SCIE","9.447","0.002",
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.438","0.052",
"EMBO REPORTS","EMBO REP","1469-221X","1469-3178","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.421","0.027",
"ULTRASONICS SONOCHEMISTRY","ULTRASON SONOCHEM","1350-4177","1873-2828","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.336","0.021",
"Materials Today Energy","MATER TODAY ENERGY","2468-6069","2468-6069","CHEMISTRY, PHYSICAL - SCIE","9.257","0.007",
"CANCER AND METASTASIS REVIEWS","CANCER METAST REV","0167-7659","1573-7233","ONCOLOGY - SCIE","9.237","0.005",
"CELLULAR AND MOLECULAR LIFE SCIENCES","CELL MOL LIFE SCI","1420-682X","1420-9071","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.234","0.032",
"Food Chemistry","FOOD CHEM","0308-8146","1873-7072","CHEMISTRY, APPLIED - SCIE","9.231","0.089",
"ACS Sustainable Chemistry & Engineering","ACS SUSTAIN CHEM ENG","2168-0485","2168-0485","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.224","0.103",
"SENSORS AND ACTUATORS B-CHEMICAL","SENSOR ACTUAT B-CHEM","N/A","0925-4005","CHEMISTRY, ANALYTICAL - SCIE","9.221","0.086",
"ChemSusChem","CHEMSUSCHEM","1864-5631","1864-564X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.14","0.04",
"European Heart Journal-Cardiovascular Imaging","EUR HEART J-CARD IMG","2047-2404","2047-2412","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","9.13","0.019",
"Journal of Integrative Plant Biology","J INTEGR PLANT BIOL","1672-9072","1744-7909","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.106","0.007",
"BioScience Trends","BIOSCI TRENDS","1881-7815","1881-7823","BIOLOGY - SCIE","9.083","0.003",
"BRITISH JOURNAL OF CANCER","BRIT J CANCER","0007-0920","1532-1827","ONCOLOGY - SCIE","9.082","0.037",
"Cell Chemical Biology","CELL CHEM BIOL","2451-9448","2451-9448","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.039","0.019",
"CURRENT OPINION IN CHEMICAL BIOLOGY","CURR OPIN CHEM BIOL","1367-5931","1879-0402","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.972","0.013",
"Topics in Current Chemistry","TOPICS CURR CHEM","2365-0869","2364-8961","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.905","0.006",
"Current Opinion in Green and Sustainable Chemistry","CURR OPIN GREEN SUST","2452-2236","2452-2236","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.843","0.004",
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","0737-4038","1537-1719","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.8","0.072",
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.756","0.05",
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","ONCOLOGY - SCIE","8.756","0.05",
"eLife","ELIFE","2050-084X","2050-084X","BIOLOGY - SCIE","8.713","0.285",
"CELLULAR & MOLECULAR BIOLOGY LETTERS","CELL MOL BIOL LETT","1425-8153","1689-1392","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.712","0.003",
"CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","CRIT REV BIOCHEM MOL","1040-9238","1549-7798","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.697","0.005",
"Materials Chemistry Frontiers","MATER CHEM FRONT","N/A","2052-1537","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.683","0.013",
"ULTRASOUND IN OBSTETRICS & GYNECOLOGY","ULTRASOUND OBST GYN","0960-7692","1469-0705","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","8.678","0.019",
"Molecular Ecology Resources","MOL ECOL RESOUR","1755-098X","1755-0998","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.678","0.016",
"Biomarker Research","BIOMARK RES","N/A","2050-7771","ONCOLOGY - SCIE","8.633","0.002",
