"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,Eigenfactor
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, PHYSICAL - SCIE","19","0.289",
"Aggregate","AGGREGATE","N/A","2692-4560","CHEMISTRY, MULTIDISCIPLINARY - ESCI","18.8","0.003",
"Aggregate","AGGREGATE","N/A","2692-4560","CHEMISTRY, PHYSICAL - ESCI","18.8","0.003",
"Trends in Cancer","TRENDS CANCER","2405-8025","2405-8033","ONCOLOGY - SCIE","18.4","0.014",
"ACCOUNTS OF CHEMICAL RESEARCH","ACCOUNTS CHEM RES","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY - SCIE","18.3","0.078",
"ACS Central Science","ACS CENTRAL SCI","2374-7943","2374-7951","CHEMISTRY, MULTIDISCIPLINARY - SCIE","18.2","0.038",
"Nano Energy","NANO ENERGY","2211-2855","2211-3282","CHEMISTRY, PHYSICAL - SCIE","17.6","0.143",
"Nano Today","NANO TODAY","1748-0132","1878-044X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","17.4","0.016",
"ACS Nano","ACS NANO","1936-0851","1936-086X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","17.1","0.238",
"ACS Nano","ACS NANO","1936-0851","1936-086X","CHEMISTRY, PHYSICAL - SCIE","17.1","0.238",
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","1545-9993","1545-9985","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","16.8","0.04",
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","ANGEW CHEM INT EDIT","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY - SCIE","16.6","0.5",
"Annual Review of Biochemistry","ANNU REV BIOCHEM","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","16.6","0.017",
"Chinese Journal of Catalysis","CHINESE J CATAL","0253-9837","1872-2067","CHEMISTRY, APPLIED - SCIE","16.5","0.014",
"Chinese Journal of Catalysis","CHINESE J CATAL","0253-9837","1872-2067","CHEMISTRY, PHYSICAL - SCIE","16.5","0.014",
"Cancer Communications","CANCER COMMUN","N/A","2523-3548","ONCOLOGY - SCIE","16.2","0.005",
"Molecular Cell","MOL CELL","1097-2765","1097-4164","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","16","0.126",
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","1522-8517","1523-5866","ONCOLOGY - SCIE","15.9","0.029",
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","0966-842X","1878-4380","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","15.9","0.017",
"Small Structures","SMALL STRUCT","N/A","2688-4062","CHEMISTRY, PHYSICAL - SCIE","15.9","0.006",
"Trends in Chemistry","TRENDS CHEM","N/A","2589-5974","CHEMISTRY, MULTIDISCIPLINARY - SCIE","15.7","0.01",
"Environmental Chemistry Letters","ENVIRON CHEM LETT","1610-3653","1610-3661","CHEMISTRY, MULTIDISCIPLINARY - SCIE","15.7","0.012",
"ADVANCES IN COLLOID AND INTERFACE SCIENCE","ADV COLLOID INTERFAC","0001-8686","1873-3727","CHEMISTRY, PHYSICAL - SCIE","15.6","0.013",
"Advanced Science","ADV SCI","N/A","2198-3844","CHEMISTRY, MULTIDISCIPLINARY - SCIE","15.1","0.092",
"Journal of the American Chemical Society","J AM CHEM SOC","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY - SCIE","15","0.446",
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","14.9","0.318",
"Nature Protocols","NAT PROTOC","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS - SCIE","14.8","0.049",
"Nature Chemical Biology","NAT CHEM BIOL","1552-4450","1552-4469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","14.8","0.044",
"Annual Review of Physical Chemistry","ANNU REV PHYS CHEM","0066-426X","1545-1593","CHEMISTRY, PHYSICAL - SCIE","14.7","0.004",
"Accounts of Materials Research","ACCOUNTS MATER RES","N/A","2643-6728","CHEMISTRY, MULTIDISCIPLINARY - ESCI","14.6","0.004",
"EcoMat","ECOMAT","N/A","2567-3173","CHEMISTRY, PHYSICAL - SCIE","14.6","0.003",
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","1044-579X","1096-3650","ONCOLOGY - SCIE","14.5","0.015",
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","1936-878X","1876-7591","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","14","0.032",
"Liver Cancer","LIVER CANCER","2235-1795","1664-5553","ONCOLOGY - SCIE","13.8","0.004",
"TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","0968-0004","1362-4326","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.8","0.018",
"PROGRESS IN LIPID RESEARCH","PROG LIPID RES","0163-7827","1873-2194","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.6","0.004",
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.6","0.012",
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS","J PHOTOCH PHOTOBIO C","1389-5567","1873-2739","CHEMISTRY, PHYSICAL - SCIE","13.6","0.002",
"Journal of the National Comprehensive Cancer Network","J NATL COMPR CANC NE","1540-1405","1540-1413","ONCOLOGY - SCIE","13.4","0.025",
"Materials Horizons","MATER HORIZ","2051-6347","2051-6355","CHEMISTRY, MULTIDISCIPLINARY - SCIE","13.3","0.026",
"Small","SMALL","1613-6810","1613-6829","CHEMISTRY, MULTIDISCIPLINARY - SCIE","13.3","0.125",
"Small","SMALL","1613-6810","1613-6829","CHEMISTRY, PHYSICAL - SCIE","13.3","0.125",
"MEDICINAL RESEARCH REVIEWS","MED RES REV","0198-6325","1098-1128","CHEMISTRY, MEDICINAL - SCIE","13.3","0.008",
"Green Energy & Environment","GREEN ENERGY ENVIRON","2096-2797","2468-0257","CHEMISTRY, PHYSICAL - SCIE","13.3","0.004",
"Journal of Energy Chemistry","J ENERGY CHEM","2095-4956","2095-4956","CHEMISTRY, APPLIED - SCIE","13.1","0.033",
"Journal of Energy Chemistry","J ENERGY CHEM","2095-4956","2095-4956","CHEMISTRY, PHYSICAL - SCIE","13.1","0.033",
"TRAC-TRENDS IN ANALYTICAL CHEMISTRY","TRAC-TREND ANAL CHEM","0165-9936","1879-3142","CHEMISTRY, ANALYTICAL - SCIE","13.1","0.025",
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","1359-6101","1879-0305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13","0.005",
"ACS Catalysis","ACS CATAL","2155-5435","2155-5435","CHEMISTRY, PHYSICAL - SCIE","12.9","0.172",
"Blood Cancer Journal","BLOOD CANCER J","2044-5385","2044-5385","ONCOLOGY - SCIE","12.8","0.014",
"EXPERIMENTAL AND MOLECULAR MEDICINE","EXP MOL MED","1226-3613","2092-6413","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","12.8","0.02",
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","CHEMISTRY, ANALYTICAL - SCIE","12.6","0.062",
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","12.4","0.028",
"Small Methods","SMALL METHODS","2366-9608","2366-9608","CHEMISTRY, PHYSICAL - SCIE","12.4","0.024",
"PLANT CELL","PLANT CELL","1040-4651","1532-298X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","12","0.03",
"PROGRESS IN SOLID STATE CHEMISTRY","PROG SOLID STATE CH","0079-6786","1873-1643","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","12","0",
"Journal of Materials Chemistry A","J MATER CHEM A","2050-7488","2050-7496","CHEMISTRY, PHYSICAL - SCIE","11.9","0.234",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.9","0.01",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","CHEMISTRY, MEDICINAL - SCIE","11.9","0.01",
"CANCER TREATMENT REVIEWS","CANCER TREAT REV","0305-7372","1532-1967","ONCOLOGY - SCIE","11.8","0.014",
"Physics of Life Reviews","PHYS LIFE REV","1571-0645","1873-1457","BIOLOGY - SCIE","11.7","0.002",
"CLINICAL CANCER RESEARCH","CLIN CANCER RES","1078-0432","1557-3265","ONCOLOGY - SCIE","11.5","0.111",
"Blood Cancer Discovery","BLOOD CANCER DISCOV","2643-3230","2643-3249","ONCOLOGY - ESCI","11.4","0.002",
"LEUKEMIA","LEUKEMIA","0887-6924","1476-5551","ONCOLOGY - SCIE","11.4","0.043",
"Redox Biology","REDOX BIOL","2213-2317","2213-2317","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.4","0.03",
"Journal of Integrative Plant Biology","J INTEGR PLANT BIOL","1672-9072","1744-7909","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.4","0.009",
"EMBO JOURNAL","EMBO J","0261-4189","1460-2075","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.4","0.05",
"Experimental Hematology & Oncology","EXP HEMATOL ONCOL","N/A","2162-3619","ONCOLOGY - SCIE","11.4","0.002",
"Wiley Interdisciplinary Reviews-Computational Molecular Science","WIRES COMPUT MOL SCI","1759-0876","1759-0884","CHEMISTRY, MULTIDISCIPLINARY - SCIE","11.4","0.01",
"JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH","J EXP CLIN CANC RES","N/A","1756-9966","ONCOLOGY - SCIE","11.3","0.028",
"Carbohydrate Polymers","CARBOHYD POLYM","0144-8617","1879-1344","CHEMISTRY, APPLIED - SCIE","11.2","0.074",
"CANCER RESEARCH","CANCER RES","0008-5472","1538-7445","ONCOLOGY - SCIE","11.2","0.081",
"CCS Chemistry","CCS CHEM","N/A","2096-5745","CHEMISTRY, MULTIDISCIPLINARY - ESCI","11.2","0.009",
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","0304-419X","1879-2561","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.2","0.009",
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","0304-419X","1879-2561","ONCOLOGY - SCIE","11.2","0.009",
"Trends in Environmental Analytical Chemistry","TRENDS ENVIRON ANAL","2214-1588","2214-1588","CHEMISTRY, ANALYTICAL - SCIE","11.2","0.001",
"JACC: CardioOncology","JACC-CARDIOONCOL","2666-0873","2666-0873","ONCOLOGY - SCIE","11.1","0.004",
"Biomarker Research","BIOMARK RES","N/A","2050-7771","ONCOLOGY - SCIE","11.1","0.004",
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","1359-4184","1476-5578","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11","0.051",
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","1361-8415","1361-8423","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","10.9","0.026",
"Journal for ImmunoTherapy of Cancer","J IMMUNOTHER CANCER","N/A","2051-1426","ONCOLOGY - SCIE","10.9","0.049",
"CARBON","CARBON","0008-6223","1873-3891","CHEMISTRY, PHYSICAL - SCIE","10.9","0.069",
"ACTA PHYSICO-CHIMICA SINICA","ACTA PHYS-CHIM SIN","1000-6818","N/A","CHEMISTRY, PHYSICAL - SCIE","10.9","0.005",
"CATALYSIS REVIEWS-SCIENCE AND ENGINEERING","CATAL REV","0161-4940","1520-5703","CHEMISTRY, PHYSICAL - SCIE","10.9","0.001",
"JOURNAL OF CONTROLLED RELEASE","J CONTROL RELEASE","0168-3659","1873-4995","CHEMISTRY, MULTIDISCIPLINARY - SCIE","10.8","0.035",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, MULTIDISCIPLINARY - SCIE","10.8","0.155",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, PHYSICAL - SCIE","10.8","0.155",
"Chem Catalysis","CHEM CATALYSIS","2667-1093","2667-1093","CHEMISTRY, PHYSICAL - ESCI","10.8","0.002",
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","0737-4038","1537-1719","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.7","0.065",
"FOOD HYDROCOLLOIDS","FOOD HYDROCOLLOID","0268-005X","1873-7137","CHEMISTRY, APPLIED - SCIE","10.7","0.041",
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","0278-0062","1558-254X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","10.6","0.034",
"Clinical and Translational Medicine","CLIN TRANSL MED","2001-1326","2001-1326","ONCOLOGY - SCIE","10.6","0.007",
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","0098-2997","1872-9452","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.6","0.006",
"CLINICAL NUCLEAR MEDICINE","CLIN NUCL MED","0363-9762","1536-0229","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","10.6","0.006",
"Plant Communications","PLANT COMMUN","2590-3462","2590-3462","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.5","0.003",
"JNCI-Journal of the National Cancer Institute","JNCI-J NATL CANCER I","0027-8874","1460-2105","ONCOLOGY - SCIE","10.3","0.035",
"BIOSCIENCE","BIOSCIENCE","0006-3568","1525-3244","BIOLOGY - SCIE","10.1","0.012",
"Cancer Immunology Research","CANCER IMMUNOL RES","2326-6066","2326-6074","ONCOLOGY - SCIE","10.1","0.02",
"Journal of Nanostructure in Chemistry","J NANOSTRUCTURE CHEM","2008-9244","2193-8865","CHEMISTRY, MULTIDISCIPLINARY - SCIE","10.1","0.002",
"BIOLOGICAL REVIEWS","BIOL REV","1464-7931","1469-185X","BIOLOGY - SCIE","10","0.02",
"Molecular Systems Biology","MOL SYST BIOL","1744-4292","1744-4292","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.9","0.015",
"JOURNAL OF COLLOID AND INTERFACE SCIENCE","J COLLOID INTERF SCI","0021-9797","1095-7103","CHEMISTRY, PHYSICAL - SCIE","9.9","0.078",
"Nano Research","NANO RES","1998-0124","1998-0000","CHEMISTRY, PHYSICAL - SCIE","9.9","0.039",
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.8","0.055",
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOLOGY - SCIE","9.8","0.055",
"Radiology-Artificial Intelligence","RADIOL-ARTIF INTELL","2638-6100","2638-6100","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI","9.8","0.003",
"GREEN CHEMISTRY","GREEN CHEM","1463-9262","1463-9270","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.8","0.054",
"SURFACE SCIENCE REPORTS","SURF SCI REP","0167-5729","1879-274X","CHEMISTRY, PHYSICAL - SCIE","9.8","0.001",
"CANCER LETTERS","CANCER LETT","0304-3835","1872-7980","ONCOLOGY - SCIE","9.7","0.033",
"npj Computational Materials","NPJ COMPUT MATER","N/A","2057-3960","CHEMISTRY, PHYSICAL - SCIE","9.7","0.019",
"Nanoscale Horizons","NANOSCALE HORIZ","2055-6756","2055-6764","CHEMISTRY, PHYSICAL - SCIE","9.7","0.008",
"Science China-Chemistry","SCI CHINA CHEM","1674-7291","1869-1870","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.6","0.013",
"BRIEFINGS IN BIOINFORMATICS","BRIEF BIOINFORM","1467-5463","1477-4054","BIOCHEMICAL RESEARCH METHODS - SCIE","9.5","0.029",
"Journal of Materiomics","J MATERIOMICS","2352-8478","2352-8478","CHEMISTRY, PHYSICAL - SCIE","9.4","0.005",
"JOURNAL OF NUCLEAR MEDICINE","J NUCL MED","0161-5505","1535-5667","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","9.3","0.026",
"Cell Systems","CELL SYST","2405-4712","2405-4720","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.3","0.026",
"Materials Today Energy","MATER TODAY ENERGY","2468-6069","2468-6069","CHEMISTRY, PHYSICAL - SCIE","9.3","0.011",
"Current Opinion in Green and Sustainable Chemistry","CURR OPIN GREEN SUST","2452-2236","2452-2236","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.3","0.006",
"International Journal of Biological Sciences","INT J BIOL SCI","1449-2288","1449-2288","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.2","0.015",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.2","0.098",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOLOGY - SCIE","9.2","0.098",
"JOURNAL OF POWER SOURCES","J POWER SOURCES","0378-7753","1873-2755","CHEMISTRY, PHYSICAL - SCIE","9.2","0.087",
"CANCER AND METASTASIS REVIEWS","CANCER METAST REV","0167-7659","1573-7233","ONCOLOGY - SCIE","9.2","0.005",
"EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING","EUR J NUCL MED MOL I","1619-7070","1619-7089","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","9.1","0.027",
"Science China-Life Sciences","SCI CHINA LIFE SCI","1674-7305","1869-1889","BIOLOGY - SCIE","9.1","0.01",
"CHINESE CHEMICAL LETTERS","CHINESE CHEM LETT","1001-8417","1878-5964","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.1","0.021",
"Radiologia Medica","RADIOL MED","0033-8362","1826-6983","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","8.9","0.005",
"ACS Sensors","ACS SENSORS","2379-3694","2379-3694","CHEMISTRY, ANALYTICAL - SCIE","8.9","0.028",
"ACS Sensors","ACS SENSORS","2379-3694","2379-3694","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.9","0.028",
"Cell Reports Physical Science","CELL REP PHYS SCI","N/A","2666-3864","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.9","0.01",
"CURRENT OPINION IN COLLOID & INTERFACE SCIENCE","CURR OPIN COLLOID IN","1359-0294","1879-0399","CHEMISTRY, PHYSICAL - SCIE","8.9","0.005",
"Food Chemistry","FOOD CHEM","0308-8146","1873-7072","CHEMISTRY, APPLIED - SCIE","8.8","0.102",
"BRITISH JOURNAL OF CANCER","BRIT J CANCER","0007-0920","1532-1827","ONCOLOGY - SCIE","8.8","0.04",
"Journal of Cheminformatics","J CHEMINFORMATICS","1758-2946","1758-2946","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.6","0.007",
"Cell Chemical Biology","CELL CHEM BIOL","2451-9456","2451-9448","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.6","0.018",
"CHEMISTRY OF MATERIALS","CHEM MATER","0897-4756","1520-5002","CHEMISTRY, PHYSICAL - SCIE","8.6","0.097",
"Topics in Current Chemistry","TOPICS CURR CHEM","2365-0869","2364-8961","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.6","0.004",
"Current Opinion in Electrochemistry","CURR OPIN ELECTROCHE","2451-9103","2451-9103","CHEMISTRY, PHYSICAL - SCIE","8.5","0.01",
"ULTRASONICS SONOCHEMISTRY","ULTRASON SONOCHEM","1350-4177","1873-2828","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.4","0.022",
"SENSORS AND ACTUATORS B-CHEMICAL","SENSOR ACTUAT B-CHEM","N/A","0925-4005","CHEMISTRY, ANALYTICAL - SCIE","8.4","0.087",
"EUROPEAN JOURNAL OF CANCER","EUR J CANCER","0959-8049","1879-0852","ONCOLOGY - SCIE","8.4","0.04",
"Chemical Science","CHEM SCI","2041-6520","2041-6539","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.4","0.125",
"ACS Sustainable Chemistry & Engineering","ACS SUSTAIN CHEM ENG","2168-0485","2168-0485","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.4","0.11",
"ChemSusChem","CHEMSUSCHEM","1864-5631","1864-564X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.4","0.038",
"Annual Review of Chemical and Biomolecular Engineering","ANNU REV CHEM BIOMOL","1947-5438","1947-5446","CHEMISTRY, APPLIED - SCIE","8.4","0.002",
"CELLULAR & MOLECULAR BIOLOGY LETTERS","CELL MOL BIOL LETT","1425-8153","1689-1392","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.3","0.002",
"European Urology Oncology","EUR UROL ONCOL","N/A","2588-9311","ONCOLOGY - SCIE","8.2","0.008",
"International Journal of Biological Macromolecules","INT J BIOL MACROMOL","0141-8130","1879-0003","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.2","0.108",
"International Journal of Biological Macromolecules","INT J BIOL MACROMOL","0141-8130","1879-0003","CHEMISTRY, APPLIED - SCIE","8.2","0.108",
"ACTA PHARMACOLOGICA SINICA","ACTA PHARMACOL SIN","1671-4083","1745-7254","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.2","0.012",
