"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI Selected JCR Year: 2000 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2000 JIF,Eigenfactor
"ADVANCES IN ORGANOMETALLIC CHEMISTRY","ADV ORGANOMET CHEM","0065-3055","2162-7614","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","9.588","N/A",
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.249","N/A",
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","BIOLOGY - SCIE","9.249","N/A",
"ANNUAL REVIEW OF PHYSICAL CHEMISTRY","ANNU REV PHYS CHEM","0066-426X","1545-1593","CHEMISTRY, PHYSICAL - SCIE","9.237","N/A",
"HUMAN MOLECULAR GENETICS","HUM MOL GENET","0964-6906","1460-2083","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.048","N/A",
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","1359-4184","1476-5578","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.927","N/A",
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","0732-183X","1527-7755","ONCOLOGY - SCIE","8.773","N/A",
"JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA","J PHYS CHEM REF DATA","0047-2689","1529-7845","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.756","N/A",
"JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA","J PHYS CHEM REF DATA","0047-2689","1529-7845","CHEMISTRY, PHYSICAL - SCIE","8.756","N/A",
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","ANGEW CHEM INT EDIT","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.547","N/A",
"MOLECULAR BIOLOGY OF THE CELL","MOL BIOL CELL","1059-1524","1939-4586","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.482","N/A",
"CANCER RESEARCH","CANCER RES","0008-5472","1538-7445","ONCOLOGY - SCIE","8.46","N/A",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.393","N/A",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOLOGY - SCIE","8.393","N/A",
"PROGRESS IN NUCLEIC ACID RESEARCH AND MOLECULAR BIOLOGY","PROG NUCLEIC ACID RE","0079-6603","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.373","N/A",
"BIOESSAYS","BIOESSAYS","0265-9247","1521-1878","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.906","N/A",
"BIOESSAYS","BIOESSAYS","0265-9247","1521-1878","BIOLOGY - SCIE","7.906","N/A",
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.785","N/A",
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.615","N/A",
"JOURNAL OF BIOLOGICAL CHEMISTRY","J BIOL CHEM","0021-9258","1083-351X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.368","N/A",
"CURRENT OPINION IN CHEMICAL BIOLOGY","CURR OPIN CHEM BIOL","1367-5931","1879-0402","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.044","N/A",
"NEUROIMAGE","NEUROIMAGE","1053-8119","1095-9572","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","6.857","N/A",
"STRUCTURE WITH FOLDING & DESIGN","STRUCT FOLD DES","0969-2126","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.681","N/A",
"CATALYSIS REVIEWS-SCIENCE AND ENGINEERING","CATAL REV","0161-4940","1520-5703","CHEMISTRY, PHYSICAL - SCIE","6.562","N/A",
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.49","N/A",
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","ONCOLOGY - SCIE","6.49","N/A",
"BIOLOGICAL REVIEWS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY","BIOL REV","0006-3231","1469-185X","BIOLOGY - SCIE","6.433","N/A",
"REVIEWS IN COMPUTATIONAL CHEMISTRY","REV COMP CH","1069-3599","N/A","CHEMISTRY, MULTIDISCIPLINARY - SCIE","6.357","N/A",
"BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS","BBA-BIOENERGETICS","0005-2728","1879-2650","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.346","N/A",
"MOLECULAR MICROBIOLOGY","MOL MICROBIOL","0950-382X","1365-2958","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.339","N/A",
"ADVANCES IN MICROBIAL PHYSIOLOGY","ADV MICROB PHYSIOL","0065-2911","2162-5468","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.095","N/A",
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","1359-6101","1879-0305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.049","N/A",
"JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","J AM CHEM SOC","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY - SCIE","6.025","N/A",
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","0966-842X","1878-4380","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.006","N/A",
"ELECTROANALYTICAL CHEMISTRY","ELECTROANAL CHEM","0070-9778","N/A","CHEMISTRY, ANALYTICAL - SCIE","6","N/A",
"GENE THERAPY","GENE THER","0969-7128","1476-5462","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.964","N/A",
"TOPICS IN CURRENT CHEMISTRY","TOP CURR CHEM","0342-6793","1436-5049","CHEMISTRY, MULTIDISCIPLINARY - SCIE","5.96","N/A",
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","1044-579X","1096-3650","ONCOLOGY - SCIE","5.841","N/A",
"ADVANCES IN PROTEIN CHEMISTRY","ADV PROTEIN CHEM","0065-3233","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.769","N/A",
"CHEMISTRY & BIOLOGY","CHEM BIOL","1074-5521","1879-1301","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.717","N/A",
"FOLDING & DESIGN","FOLD DES","1359-0278","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.7","N/A",
"MOLECULAR PHARMACOLOGY","MOL PHARMACOL","0026-895X","1521-0111","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.678","N/A",
"CURRENT OPINION IN LIPIDOLOGY","CURR OPIN LIPIDOL","0957-9672","1473-6535","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.661","N/A",
"VITAMINS AND HORMONES-ADVANCES IN RESEARCH AND APPLICATIONS","VITAM HORM","0083-6729","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.407","N/A",
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.396","N/A",
"REVIEWS OF PHYSIOLOGY BIOCHEMISTRY AND PHARMACOLOGY","REV PHYSIOL BIOCH P","0303-4240","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.389","N/A",
"JOURNAL OF MOLECULAR BIOLOGY","J MOL BIOL","0022-2836","1089-8638","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.388","N/A",
"PROGRESS IN LIPID RESEARCH","PROG LIPID RES","0163-7827","1873-2194","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.379","N/A",
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","0737-4038","1537-1719","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.298","N/A",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.295","N/A",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","CHEMISTRY, MEDICINAL - SCIE","5.295","N/A",
"CELL GROWTH & DIFFERENTIATION","CELL GROWTH DIFFER","1044-9523","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.235","N/A",
"JOURNAL OF COMBINATORIAL CHEMISTRY","J COMB CHEM","1520-4766","N/A","CHEMISTRY, APPLIED - SCIE","5.23","N/A",
"JOURNAL OF COMBINATORIAL CHEMISTRY","J COMB CHEM","1520-4766","N/A","CHEMISTRY, MEDICINAL - SCIE","5.23","N/A",
"JOURNAL OF COMBINATORIAL CHEMISTRY","J COMB CHEM","1520-4766","N/A","CHEMISTRY, MULTIDISCIPLINARY - SCIE","5.23","N/A",
"MOLECULAR MEDICINE TODAY","MOL MED TODAY","1357-4310","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.193","N/A",
"HUMAN BRAIN MAPPING","HUM BRAIN MAPP","1065-9471","1097-0193","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5.163","N/A",
"ADVANCES IN ENZYMOLOGY AND RELATED AREAS OF MOLECULAR BIOLOGY","ADV ENZYMOL RAMB","0065-258X","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.143","N/A",
"CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","CRIT REV BIOCHEM MOL","1040-9238","1549-7798","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.083","N/A",
"PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY","PROG NUCL MAG RES SP","0079-6565","1873-3301","NUCLEAR SCIENCE & TECHNOLOGY - SCIE","5.062","N/A",
"RNA-A PUBLICATION OF THE RNA SOCIETY","RNA","1355-8382","1469-9001","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.046","N/A",
"PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY","PROG BIOPHYS MOL BIO","0079-6107","1873-1732","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.931","N/A",
"CURRENT MEDICINAL CHEMISTRY","CURR MED CHEM","0929-8673","1875-533X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.909","N/A",
"CURRENT MEDICINAL CHEMISTRY","CURR MED CHEM","0929-8673","1875-533X","CHEMISTRY, MEDICINAL - SCIE","4.909","N/A",
"JOURNAL OF NEUROCHEMISTRY","J NEUROCHEM","0022-3042","1471-4159","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.9","N/A",
"ADVANCES IN PHYSICAL ORGANIC CHEMISTRY","ADV PHYS ORG CHEM","0065-3160","2162-5921","CHEMISTRY, PHYSICAL - SCIE","4.75","N/A",
"CURRENT OPINION IN BIOTECHNOLOGY","CURR OPIN BIOTECH","0958-1669","1879-0429","BIOCHEMICAL RESEARCH METHODS - SCIE","4.711","N/A",
"CHEMISTRY-A EUROPEAN JOURNAL","CHEM-EUR J","0947-6539","1521-3765","CHEMISTRY, MULTIDISCIPLINARY - SCIE","4.698","N/A",
"CLINICAL CANCER RESEARCH","CLIN CANCER RES","1078-0432","1557-3265","ONCOLOGY - SCIE","4.643","N/A",
"ANALYTICAL CHEMISTRY","ANAL CHEM","0003-2700","1520-6882","CHEMISTRY, ANALYTICAL - SCIE","4.587","N/A",
"GENES CHROMOSOMES & CANCER","GENE CHROMOSOME CANC","1045-2257","1098-2264","ONCOLOGY - SCIE","4.534","N/A",
"INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY","INT REV PHYS CHEM","0144-235X","1366-591X","CHEMISTRY, PHYSICAL - SCIE","4.429","N/A",
"METAL IONS IN BIOLOGICAL SYSTEMS","MET IONS BIOL SYST","0161-5149","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.385","N/A",
"METAL IONS IN BIOLOGICAL SYSTEMS","MET IONS BIOL SYST","0161-5149","N/A","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","4.385","N/A",
"CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION","CANCER EPIDEM BIOMAR","1055-9965","1538-7755","ONCOLOGY - SCIE","4.354","N/A",
"AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY","AM J RESP CELL MOL","1044-1549","1535-4989","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.353","N/A",
"BIOCHEMICAL JOURNAL","BIOCHEM J","0264-6021","1470-8728","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.28","N/A",
"BIOCHEMISTRY","BIOCHEMISTRY-US","0006-2960","1520-4995","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.221","N/A",
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS","BBA-MOL CELL BIOL L","1388-1981","1879-2618","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.16","N/A",
"CANCER GENE THERAPY","CANCER GENE THER","0929-1903","1476-5500","ONCOLOGY - SCIE","4.151","N/A",
"JOURNAL OF MEDICINAL CHEMISTRY","J MED CHEM","0022-2623","1520-4804","CHEMISTRY, MEDICINAL - SCIE","4.134","N/A",
"RADIOLOGY","RADIOLOGY","0033-8419","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","4.13","N/A",
"FREE RADICAL BIOLOGY AND MEDICINE","FREE RADICAL BIO MED","0891-5849","1873-4596","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.116","N/A",
"DRUG DISCOVERY TODAY","DRUG DISCOV TODAY","1359-6446","1878-5832","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.105","N/A",
"CARCINOGENESIS","CARCINOGENESIS","0143-3334","1460-2180","ONCOLOGY - SCIE","4.031","N/A",
"JOURNAL OF MOLECULAR EVOLUTION","J MOL EVOL","0022-2844","1432-1432","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.984","N/A",
"BIOSCIENCE","BIOSCIENCE","0006-3568","1525-3244","BIOLOGY - SCIE","3.952","N/A",
"INTERNATIONAL JOURNAL OF CANCER","INT J CANCER","0020-7136","1097-0215","ONCOLOGY - SCIE","3.918","N/A",
"PROTEIN SCIENCE","PROTEIN SCI","0961-8368","1469-896X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.869","N/A",
"FARADAY DISCUSSIONS","FARADAY DISCUSS","0301-7249","1364-5498","CHEMISTRY, PHYSICAL - SCIE","3.861","N/A",
"EXPERIMENTAL CELL RESEARCH","EXP CELL RES","0014-4827","1090-2422","ONCOLOGY - SCIE","3.86","N/A",
"PROGRESS IN SURFACE SCIENCE","PROG SURF SCI","0079-6816","1878-4240","CHEMISTRY, PHYSICAL - SCIE","3.826","N/A",
"MOLECULAR MEDICINE","MOL MED","1076-1551","1528-3658","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.779","N/A",
"EUROPEAN JOURNAL OF NUCLEAR MEDICINE","EUR J NUCL MED","0340-6997","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","3.772","N/A",
"COORDINATION CHEMISTRY REVIEWS","COORDIN CHEM REV","0010-8545","1873-3840","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","3.763","N/A",
"LEUKEMIA","LEUKEMIA","0887-6924","1476-5551","ONCOLOGY - SCIE","3.736","N/A",
"JOURNAL OF LIPID RESEARCH","J LIPID RES","0022-2275","1539-7262","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.702","N/A",
"CHEMICAL COMMUNICATIONS","CHEM COMMUN","1359-7345","1364-548X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","3.695","N/A",
"BRITISH JOURNAL OF PHARMACOLOGY","BRIT J PHARMACOL","0007-1188","1476-5381","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.689","N/A",
"CELLULAR AND MOLECULAR LIFE SCIENCES","CELL MOL LIFE SCI","1420-682X","1420-9071","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.668","N/A",
"CELLULAR AND MOLECULAR LIFE SCIENCES","CELL MOL LIFE SCI","1420-682X","1420-9071","BIOLOGY - SCIE","3.668","N/A",
"MATRIX BIOLOGY","MATRIX BIOL","0945-053X","1569-1802","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.664","N/A",
"LC GC NORTH AMERICA","LC GC N AM","1527-5949","1939-1889","CHEMISTRY, ANALYTICAL - SCIE","3.655","N/A",
"JOURNAL OF NUCLEAR MEDICINE","J NUCL MED","0161-5505","1535-5667","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","3.617","N/A",
"CANCER","CANCER-AM CANCER SOC","0008-543X","1097-0142","ONCOLOGY - SCIE","3.611","N/A",
"JOURNAL OF BIOMOLECULAR NMR","J BIOMOL NMR","0925-2738","1573-5001","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.592","N/A",
"CHEMISTRY OF MATERIALS","CHEM MATER","0897-4756","1520-5002","CHEMISTRY, PHYSICAL - SCIE","3.58","N/A",
"PROTEINS-STRUCTURE FUNCTION AND GENETICS","PROTEINS","0887-3585","1097-0134","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.576","N/A",
"SEPARATION AND PURIFICATION METHODS","SEPAR PURIF METHOD","0360-2540","N/A","CHEMISTRY, ANALYTICAL - SCIE","3.556","N/A",
"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES B-BIOLOGIC","PHILOS T ROY SOC B","0962-8436","N/A","BIOLOGY - SCIE","3.516","N/A",
"QUARTERLY REVIEW OF BIOLOGY","Q REV BIOL","0033-5770","1539-7718","BIOLOGY - SCIE","3.5","N/A",
"BRITISH JOURNAL OF CANCER","BRIT J CANCER","0007-0920","1532-1827","ONCOLOGY - SCIE","3.489","N/A",
"MOLECULAR PLANT-MICROBE INTERACTIONS","MOL PLANT MICROBE IN","0894-0282","1943-7706","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.448","N/A",
"FEBS LETTERS","FEBS LETT","0014-5793","1873-3468","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.44","N/A",
"ADVANCES IN CHROMATOGRAPHY","ADV CHROMATOGR","0065-2415","2153-991X","CHEMISTRY, ANALYTICAL - SCIE","3.429","N/A",
"GLYCOBIOLOGY","GLYCOBIOLOGY","0959-6658","1460-2423","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.419","N/A",
"MEDICINAL RESEARCH REVIEWS","MED RES REV","0198-6325","1098-1128","CHEMISTRY, MEDICINAL - SCIE","3.417","N/A",
"BIOINFORMATICS","BIOINFORMATICS","1367-4803","1367-4811","BIOCHEMICAL RESEARCH METHODS - SCIE","3.409","N/A",
"ADVANCES IN CARBOHYDRATE CHEMISTRY AND BIOCHEMISTRY","ADV CARBOHYD CHEM BI","0065-2318","2162-5530","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.4","N/A",
"JOURNAL OF PHYSICAL CHEMISTRY B","J PHYS CHEM B","1089-5647","1520-5207","CHEMISTRY, PHYSICAL - SCIE","3.386","N/A",
"ELECTROPHORESIS","ELECTROPHORESIS","0173-0835","1522-2683","BIOCHEMICAL RESEARCH METHODS - SCIE","3.385","N/A",
"ELECTROPHORESIS","ELECTROPHORESIS","0173-0835","1522-2683","CHEMISTRY, ANALYTICAL - SCIE","3.385","N/A",
"SEMINARS IN ONCOLOGY","SEMIN ONCOL","0093-7754","1532-8708","ONCOLOGY - SCIE","3.365","N/A",
"CLADISTICS-THE INTERNATIONAL JOURNAL OF THE WILLI HENNIG SOCIETY","CLADISTICS","0748-3007","1096-0031","BIOLOGY - SCIE","3.362","N/A",
"MOLECULAR PHYLOGENETICS AND EVOLUTION","MOL PHYLOGENET EVOL","1055-7903","1095-9513","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.345","N/A",
"MOLECULAR MEMBRANE BIOLOGY","MOL MEMBR BIOL","0968-7688","1464-5203","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.339","N/A",
"CANCER AND METASTASIS REVIEWS","CANCER METAST REV","0167-7659","1573-7233","ONCOLOGY - SCIE","3.325","N/A",
"CELLULAR SIGNALLING","CELL SIGNAL","0898-6568","1873-3913","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.294","N/A",
"JOURNAL OF STRUCTURAL BIOLOGY","J STRUCT BIOL","1047-8477","1095-8657","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.255","N/A",
"ANNALS OF ONCOLOGY","ANN ONCOL","0923-7534","1569-8041","ONCOLOGY - SCIE","3.249","N/A",
"TOPICS IN CATALYSIS","TOP CATAL","1022-5528","1572-9028","CHEMISTRY, APPLIED - SCIE","3.242","N/A",
"TOPICS IN CATALYSIS","TOP CATAL","1022-5528","1572-9028","CHEMISTRY, PHYSICAL - SCIE","3.242","N/A",
"PLANT MOLECULAR BIOLOGY","PLANT MOL BIOL","0167-4412","1573-5028","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.226","N/A",
"CHEMICAL RESEARCH IN TOXICOLOGY","CHEM RES TOXICOL","0893-228X","1520-5010","CHEMISTRY, MEDICINAL - SCIE","3.187","N/A",
"CHEMICAL RESEARCH IN TOXICOLOGY","CHEM RES TOXICOL","0893-228X","1520-5010","CHEMISTRY, MULTIDISCIPLINARY - SCIE","3.187","N/A",
"BIOCHEMICAL SOCIETY SYMPOSIUM","BIOCHEM SOC SYMP","0067-8694","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.181","N/A",
"EUROPEAN JOURNAL OF HUMAN GENETICS","EUR J HUM GENET","1018-4813","1476-5438","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.175","N/A",
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH","BBA-MOL CELL RES","0167-4889","1879-2596","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.171","N/A",
"ORGANOMETALLICS","ORGANOMETALLICS","0276-7333","1520-6041","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","3.169","N/A",
"CHROMOSOMA","CHROMOSOMA","0009-5915","1432-0886","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.157","N/A",
