"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI Selected JCR Year: 2010 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2010 JIF,Eigenfactor
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","CHEMISTRY, MULTIDISCIPLINARY - SCIE","10.88","0.242",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","CHEMISTRY, PHYSICAL - SCIE","10.88","0.242",
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS","J PHOTOCH PHOTOBIO C","1389-5567","1873-2739","CHEMISTRY, PHYSICAL - SCIE","10.81","0.004",
"Nature Reviews Clinical Oncology","NAT REV CLIN ONCOL","1759-4774","1759-4782","ONCOLOGY - SCIE","10.787","0.004",
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","0098-2997","1872-9452","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.552","0.009",
"Annual Review of Analytical Chemistry","ANNU REV ANAL CHEM","1936-1327","1936-1335","CHEMISTRY, ANALYTICAL - SCIE","10.404","0.004",
"PROGRESS IN SURFACE SCIENCE","PROG SURF SCI","0079-6816","1878-4240","CHEMISTRY, PHYSICAL - SCIE","10.368","0.005",
"TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","0968-0004","1362-4326","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.364","0.048",
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.308","0.024",
"MEDICINAL RESEARCH REVIEWS","MED RES REV","0198-6325","1098-1128","CHEMISTRY, MEDICINAL - SCIE","10.228","0.006",
"REVIEWS OF PHYSIOLOGY BIOCHEMISTRY AND PHARMACOLOGY","REV PHYSIOL BIOCH P","0303-4240","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.2","0.002",
"CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","CRIT REV BIOCHEM MOL","1040-9238","1549-7798","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.125","0.011",
"EMBO JOURNAL","EMBO J","0261-4189","1460-2075","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.124","0.206",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.026","0.207",
"COORDINATION CHEMISTRY REVIEWS","COORDIN CHEM REV","0010-8545","1873-3840","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","10.018","0.045",
"CURRENT OPINION IN STRUCTURAL BIOLOGY","CURR OPIN STRUC BIOL","0959-440X","1879-033X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.903","0.043",
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","0304-419X","1879-2561","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.886","0.012",
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","0304-419X","1879-2561","ONCOLOGY - SCIE","9.886","0.012",
"ACS Nano","ACS NANO","1936-0851","1936-086X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.865","0.056",
"ACS Nano","ACS NANO","1936-0851","1936-086X","CHEMISTRY, PHYSICAL - SCIE","9.865","0.056",
"Advances in Organometallic Chemistry","ADV ORGANOMET CHEM","0065-3055","2162-7614","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","9.692","0.001",
"Molecular Systems Biology","MOL SYST BIOL","1744-4292","1744-4292","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.667","0.032",
"EUROPEAN CELLS & MATERIALS","EUR CELLS MATER","1473-2262","1473-2262","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.65","0.003",
"PROGRESS IN LIPID RESEARCH","PROG LIPID RES","0163-7827","1873-2194","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.51","0.008",
"Energy & Environmental Science","ENERG ENVIRON SCI","1754-5692","1754-5706","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.488","0.009",
"PLANT CELL","PLANT CELL","1040-4651","1532-298X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.396","0.1",
"EJC SUPPLEMENTS","EJC SUPPL","1359-6349","1878-1217","ONCOLOGY - SCIE","9.386","0.007",
"CURRENT OPINION IN CHEMICAL BIOLOGY","CURR OPIN CHEM BIOL","1367-5931","1879-0402","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.312","0.028",
"BRIEFINGS IN BIOINFORMATICS","BRIEF BIOINFORM","1467-5463","1477-4054","BIOCHEMICAL RESEARCH METHODS - SCIE","9.283","0.01",
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.05","0.061",
"JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","J AM CHEM SOC","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.023","0.864",
"LEUKEMIA","LEUKEMIA","0887-6924","1476-5551","ONCOLOGY - SCIE","8.966","0.064",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.881","0.014",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","CHEMISTRY, MEDICINAL - SCIE","8.881","0.014",
"Nature Clinical Practice Oncology","NAT CLIN PRACT ONCOL","1743-4254","N/A","ONCOLOGY - SCIE","8.676","0.012",
"ADVANCES IN COLLOID AND INTERFACE SCIENCE","ADV COLLOID INTERFAC","0001-8686","1873-3727","CHEMISTRY, PHYSICAL - SCIE","8.66","0.012",
"Advances in Microbial Physiology","ADV MICROB PHYSIOL","0065-2911","2162-5468","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.556","0.001",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.508","0.111",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, PHYSICAL - SCIE","8.508","0.111",
"CURRENT OPINION IN BIOTECHNOLOGY","CURR OPIN BIOTECH","0958-1669","1879-0429","BIOCHEMICAL RESEARCH METHODS - SCIE","8.486","0.025",
"Nature Protocols","NAT PROTOC","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS - SCIE","8.362","0.085",
"MOLECULAR & CELLULAR PROTEOMICS","MOL CELL PROTEOMICS","1535-9476","1535-9484","BIOCHEMICAL RESEARCH METHODS - SCIE","8.354","0.058",
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","1359-6101","1879-0305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.239","0.015",
"CANCER RESEARCH","CANCER RES","0008-5472","1538-7445","ONCOLOGY - SCIE","8.234","0.4",
"ANTIOXIDANTS & REDOX SIGNALING","ANTIOXID REDOX SIGN","1523-0864","1557-7716","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.209","0.035",
"Advances in Catalysis","ADV CATAL","0360-0564","2163-0747","CHEMISTRY, PHYSICAL - SCIE","8.167","0.001",
"HUMAN MOLECULAR GENETICS","HUM MOL GENET","0964-6906","1460-2083","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.058","0.133",
"STEM CELLS","STEM CELLS","1066-5099","1549-4918","ONCOLOGY - SCIE","7.871","0.08",
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.836","0.327",
"EMBO REPORTS","EMBO REP","1469-221X","1469-3178","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.822","0.055",
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","1044-579X","1096-3650","ONCOLOGY - SCIE","7.758","0.014",
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","0966-842X","1878-4380","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.5","0.025",
"MOLECULAR INTERVENTIONS","MOL INTERV","1534-0384","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.478","0.004",
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.414","0.198",
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","ONCOLOGY - SCIE","7.414","0.198",
"CLINICAL CANCER RESEARCH","CLIN CANCER RES","1078-0432","1557-3265","ONCOLOGY - SCIE","7.338","0.224",
"Small","SMALL","1613-6810","1613-6829","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7.336","0.067",
"Small","SMALL","1613-6810","1613-6829","CHEMISTRY, PHYSICAL - SCIE","7.336","0.067",
"JOURNAL OF PATHOLOGY","J PATHOL","0022-3417","1096-9896","ONCOLOGY - SCIE","7.274","0.037",
"JOURNAL OF CONTROLLED RELEASE","J CONTROL RELEASE","0168-3659","1873-4995","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7.164","0.05",
"CANCER AND METASTASIS REVIEWS","CANCER METAST REV","0167-7659","1573-7233","ONCOLOGY - SCIE","7.14","0.014",
"CELLULAR AND MOLECULAR LIFE SCIENCES","CELL MOL LIFE SCI","1420-682X","1420-9071","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.047","0.069",
"JOURNAL OF NUCLEAR MEDICINE","J NUCL MED","0161-5505","1535-5667","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","7.022","0.047",
"CATALYSIS REVIEWS-SCIENCE AND ENGINEERING","CATAL REV","0161-4940","1520-5703","CHEMISTRY, PHYSICAL - SCIE","7","0.002",
"CANCER TREATMENT REVIEWS","CANCER TREAT REV","0305-7372","1532-1967","ONCOLOGY - SCIE","6.811","0.011",
"CURRENT OPINION IN LIPIDOLOGY","CURR OPIN LIPIDOL","0957-9672","1473-6535","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.636","0.011",
"TRAC-TRENDS IN ANALYTICAL CHEMISTRY","TRAC-TREND ANAL CHEM","0165-9936","1879-3142","CHEMISTRY, ANALYTICAL - SCIE","6.602","0.016",
"BIOLOGICAL REVIEWS","BIOL REV","1464-7931","1469-185X","BIOLOGY - SCIE","6.574","0.012",
"INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY","INT REV PHYS CHEM","0144-235X","1366-591X","CHEMISTRY, PHYSICAL - SCIE","6.528","0.005",
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.515","0.104",
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","BIOLOGY - SCIE","6.515","0.104",
"MOLECULAR ECOLOGY","MOL ECOL","0962-1083","1365-294X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.457","0.073",
"ANNALS OF ONCOLOGY","ANN ONCOL","0923-7534","1569-8041","ONCOLOGY - SCIE","6.452","0.065",
"CHEMISTRY OF MATERIALS","CHEM MATER","0897-4756","1520-5002","CHEMISTRY, PHYSICAL - SCIE","6.4","0.17",
"STRUCTURE","STRUCTURE","0969-2126","1878-4186","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.337","0.053",
"ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY","ACTA CRYSTALLOGR D","0907-4449","2059-7983","BIOCHEMICAL RESEARCH METHODS - SCIE","6.326","0.03",
"ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY","ACTA CRYSTALLOGR D","0907-4449","2059-7983","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.326","0.03",
"ChemSusChem","CHEMSUSCHEM","1864-5631","1864-564X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","6.325","0.009",
"LAB ON A CHIP","LAB CHIP","1473-0197","1473-0189","BIOCHEMICAL RESEARCH METHODS - SCIE","6.26","0.047",
"LAB ON A CHIP","LAB CHIP","1473-0197","1473-0189","CHEMISTRY, MULTIDISCIPLINARY - SCIE","6.26","0.047",
"MOLECULAR AND CELLULAR BIOLOGY","MOL CELL BIOL","0270-7306","1098-5549","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.188","0.229",
"CURRENT OPINION IN COLLOID & INTERFACE SCIENCE","CURR OPIN COLLOID IN","1359-0294","1879-0399","CHEMISTRY, PHYSICAL - SCIE","6.141","0.009",
"JOURNAL OF LIPID RESEARCH","J LIPID RES","0022-2275","1539-7262","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.115","0.049",
"Advances in Cancer Research","ADV CANCER RES","0065-230X","2162-5557","ONCOLOGY - SCIE","6.08","0.004",
"RADIOLOGY","RADIOLOGY","0033-8419","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","6.069","0.082",
"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PHILOS T R SOC B","0962-8436","1471-2970","BIOLOGY - SCIE","6.053","0.069",
"RNA-A PUBLICATION OF THE RNA SOCIETY","RNA","1355-8382","1469-9001","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.051","0.06",
"PROGRESS IN INORGANIC CHEMISTRY","PROG INORG CHEM","0079-6379","N/A","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","6","0.001",
"NEUROIMAGE","NEUROIMAGE","1053-8119","1095-9572","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5.937","0.153",
"MOLECULAR MEDICINE","MOL MED","1076-1551","1528-3658","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.908","0.009",
"ANALYTICAL CHEMISTRY","ANAL CHEM","0003-2700","1520-6882","CHEMISTRY, ANALYTICAL - SCIE","5.874","0.175",
"CHEMISTRY & BIOLOGY","CHEM BIOL","1074-5521","1879-1301","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.838","0.029",
"ONCOLOGIST","ONCOLOGIST","1083-7159","1549-490X","ONCOLOGY - SCIE","5.826","0.024",
"QUARTERLY REVIEW OF BIOLOGY","Q REV BIOL","0033-5770","1539-7718","BIOLOGY - SCIE","5.818","0.003",
"CHEMICAL COMMUNICATIONS","CHEM COMMUN","1359-7345","1364-548X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","5.787","0.236",
"BREAST CANCER RESEARCH","BREAST CANCER RES","1465-5411","1465-542X","ONCOLOGY - SCIE","5.785","0.028",
"FREE RADICAL BIOLOGY AND MEDICINE","FREE RADICAL BIO MED","0891-5849","1873-4596","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.707","0.055",
"ACS Chemical Biology","ACS CHEM BIOL","1554-8929","1554-8937","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.698","0.017",
"RNA Biology","RNA BIOL","1547-6286","1555-8584","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.597","0.005",
"CHRONOBIOLOGY INTERNATIONAL","CHRONOBIOL INT","0742-0528","1525-6073","BIOLOGY - SCIE","5.576","0.006",
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","1936-878X","1876-7591","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5.528","0.007",
"PLoS Computational Biology","PLOS COMPUT BIOL","1553-734X","1553-7358","BIOCHEMICAL RESEARCH METHODS - SCIE","5.515","0.06",
"BIOSCIENCE","BIOSCIENCE","0006-3568","1525-3244","BIOLOGY - SCIE","5.51","0.018",
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","0737-4038","1537-1719","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.51","0.091",
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","1522-8517","1523-5866","ONCOLOGY - SCIE","5.483","0.009",
"CHEMISTRY-A EUROPEAN JOURNAL","CHEM-EUR J","0947-6539","1521-3765","CHEMISTRY, MULTIDISCIPLINARY - SCIE","5.476","0.159",
"NEOPLASIA","NEOPLASIA","1522-8002","1476-5586","ONCOLOGY - SCIE","5.476","0.02",
"GREEN CHEMISTRY","GREEN CHEM","1463-9262","1463-9270","CHEMISTRY, MULTIDISCIPLINARY - SCIE","5.472","0.028",
"JOURNAL OF PROTEOME RESEARCH","J PROTEOME RES","1535-3893","1535-3907","BIOCHEMICAL RESEARCH METHODS - SCIE","5.46","0.06",
"JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA","J MAMMARY GLAND BIOL","1083-3021","1573-7039","ONCOLOGY - SCIE","5.446","0.005",
"JOURNAL OF CATALYSIS","J CATAL","0021-9517","1090-2694","CHEMISTRY, PHYSICAL - SCIE","5.415","0.052",
"CARCINOGENESIS","CARCINOGENESIS","0143-3334","1460-2180","ONCOLOGY - SCIE","5.402","0.047",
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","CHEMISTRY, ANALYTICAL - SCIE","5.361","0.048",
"JOURNAL OF BIOLOGICAL CHEMISTRY","J BIOL CHEM","0021-9258","1083-351X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.328","0.881",
"BIOMACROMOLECULES","BIOMACROMOLECULES","1525-7797","1526-4602","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.327","0.066",
"ADVANCED SYNTHESIS & CATALYSIS","ADV SYNTH CATAL","1615-4150","1615-4169","CHEMISTRY, APPLIED - SCIE","5.25","0.047",
"MOLECULAR CANCER THERAPEUTICS","MOL CANCER THER","1535-7163","1538-8514","ONCOLOGY - SCIE","5.225","0.057",
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE","BBA-MOL BASIS DIS","0925-4439","1879-260X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.211","0.02",
"JOURNAL OF MEDICINAL CHEMISTRY","J MED CHEM","0022-2623","1520-4804","CHEMISTRY, MEDICINAL - SCIE","5.207","0.103",
"BMC BIOLOGY","BMC BIOL","1741-7007","1741-7007","BIOLOGY - SCIE","5.203","0.012",
"Journal of Chemical Theory and Computation","J CHEM THEORY COMPUT","1549-9618","1549-9626","CHEMISTRY, PHYSICAL - SCIE","5.138","0.036",
"BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS","BBA-BIOENERGETICS","0005-2728","1879-2650","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.132","0.026",
"CANCER","CANCER-AM CANCER SOC","0008-543X","1097-0142","ONCOLOGY - SCIE","5.131","0.115",
"HUMAN BRAIN MAPPING","HUM BRAIN MAPP","1065-9471","1097-0193","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5.107","0.034",
"JOURNAL OF MATERIALS CHEMISTRY","J MATER CHEM","0959-9428","1364-5501","CHEMISTRY, PHYSICAL - SCIE","5.101","0.112",
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS","BBA-MOL CELL BIOL L","1388-1981","1879-2618","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.084","0.021",
"Nano Research","NANO RES","1998-0124","1998-0000","CHEMISTRY, PHYSICAL - SCIE","5.078","0.006",
"Journal of Proteomics","J PROTEOMICS","1874-3919","1876-7737","BIOCHEMICAL RESEARCH METHODS - SCIE","5.074","0.004",
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","P ROY SOC B-BIOL SCI","0962-8452","1471-2954","BIOLOGY - SCIE","5.064","0.091",
"EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING","EUR J NUCL MED MOL I","1619-7070","1619-7089","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5.036","0.024",
"BIOCHEMICAL JOURNAL","BIOCHEM J","0264-6021","1470-8728","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.016","0.094",
"BIOCONJUGATE CHEMISTRY","BIOCONJUGATE CHEM","1043-1802","1520-4812","BIOCHEMICAL RESEARCH METHODS - SCIE","5.002","0.034",
"BIOCONJUGATE CHEMISTRY","BIOCONJUGATE CHEM","1043-1802","1520-4812","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.002","0.034",
"BIOCONJUGATE CHEMISTRY","BIOCONJUGATE CHEM","1043-1802","1520-4812","CHEMISTRY, MULTIDISCIPLINARY - SCIE","5.002","0.034",
"JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS","J BIOMOL STRUCT DYN","0739-1102","1538-0254","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.986","0.002",
"Cancer Prevention Research","CANCER PREV RES","1940-6207","1940-6215","ONCOLOGY - SCIE","4.978","0.006",
"INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY","INT J BIOCHEM CELL B","1357-2725","1878-5875","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.956","0.04",
"International Review of Cell and Molecular Biology","INT REV CEL MOL BIO","1937-6448","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.954","0.004",
"EUROPEAN JOURNAL OF CANCER","EUR J CANCER","0959-8049","1879-0852","ONCOLOGY - SCIE","4.944","0.051",
"PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY","PROG NUCL MAG RES SP","0079-6565","1873-3301","CHEMISTRY, PHYSICAL - SCIE","4.933","0.005",
"INTERNATIONAL JOURNAL OF CANCER","INT J CANCER","0020-7136","1097-0215","ONCOLOGY - SCIE","4.926","0.113",
"CARBON","CARBON","0008-6223","1873-3891","CHEMISTRY, PHYSICAL - SCIE","4.896","0.058",
"BIOINFORMATICS","BIOINFORMATICS","1367-4803","1367-4811","BIOCHEMICAL RESEARCH METHODS - SCIE","4.877","0.179",
"Physics of Life Reviews","PHYS LIFE REV","1571-0645","1873-1457","BIOLOGY - SCIE","4.875","0.002",
"CANCER LETTERS","CANCER LETT","0304-3835","1872-7980","ONCOLOGY - SCIE","4.864","0.052",
"BREAST CANCER RESEARCH AND TREATMENT","BREAST CANCER RES TR","0167-6806","1573-7217","ONCOLOGY - SCIE","4.859","0.039",
"JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS","J ENVIRON SCI HEAL C","1059-0501","1532-4095","ONCOLOGY - SCIE","4.84","0.001",
"BRITISH JOURNAL OF CANCER","BRIT J CANCER","0007-0920","1532-1827","ONCOLOGY - SCIE","4.831","0.089",
"MOLECULAR MICROBIOLOGY","MOL MICROBIOL","0950-382X","1365-2958","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.819","0.104",
"PROTEOMICS","PROTEOMICS","1615-9853","1615-9861","BIOCHEMICAL RESEARCH METHODS - SCIE","4.815","0.056",
