"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI Selected JCR Year: 2011 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2011 JIF,Eigenfactor
"STEM CELLS","STEM CELLS","1066-5099","1549-4918","ONCOLOGY - SCIE","7.781","0.081",
"CLINICAL CANCER RESEARCH","CLIN CANCER RES","1078-0432","1557-3265","ONCOLOGY - SCIE","7.742","0.206",
"QUARTERLY REVIEW OF BIOLOGY","Q REV BIOL","0033-5770","1539-7718","BIOLOGY - SCIE","7.727","0.003",
"CURRENT OPINION IN BIOTECHNOLOGY","CURR OPIN BIOTECH","0958-1669","1879-0429","BIOCHEMICAL RESEARCH METHODS - SCIE","7.711","0.024",
"CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","CRIT REV BIOCHEM MOL","1040-9238","1549-7798","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.655","0.009",
"Advances in Carbohydrate Chemistry and Biochemistry","ADV CARBOHYD CHEM BI","0065-2318","2162-5530","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.643","0.001",
"HUMAN MOLECULAR GENETICS","HUM MOL GENET","0964-6906","1460-2083","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.636","0.115",
"Chemical Science","CHEM SCI","2041-6520","2041-6539","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7.525","0.005",
"CATALYSIS REVIEWS-SCIENCE AND ENGINEERING","CATAL REV","0161-4940","1520-5703","CHEMISTRY, PHYSICAL - SCIE","7.5","0.002",
"Science Signaling","SCI SIGNAL","1937-9145","1937-9145","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.499","0.032",
"MOLECULAR & CELLULAR PROTEOMICS","MOL CELL PROTEOMICS","1535-9476","1535-9484","BIOCHEMICAL RESEARCH METHODS - SCIE","7.398","0.054",
"EMBO REPORTS","EMBO REP","1469-221X","1469-3178","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.355","0.047",
"Annual Review of Chemical and Biomolecular Engineering","ANNU REV CHEM BIOMOL","1947-5438","1947-5446","CHEMISTRY, APPLIED - SCIE","7.294","0.001",
"CHEMISTRY OF MATERIALS","CHEM MATER","0897-4756","1520-5002","CHEMISTRY, PHYSICAL - SCIE","7.286","0.158",
"Physics of Life Reviews","PHYS LIFE REV","1571-0645","1873-1457","BIOLOGY - SCIE","7.208","0.002",
"EXPERT REVIEWS IN MOLECULAR MEDICINE","EXPERT REV MOL MED","1462-3994","1462-3994","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.143","0.007",
"Advances in Organometallic Chemistry","ADV ORGANOMET CHEM","0065-3055","2162-7614","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","7","0.001",
"Nano Research","NANO RES","1998-0124","1998-0000","CHEMISTRY, PHYSICAL - SCIE","6.97","0.011",
"ChemSusChem","CHEMSUSCHEM","1864-5631","1864-564X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","6.827","0.013",
"JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA","J MAMMARY GLAND BIOL","1083-3021","1573-7039","ONCOLOGY - SCIE","6.741","0.006",
"Advances in Cancer Research","ADV CANCER RES","0065-230X","2162-5557","ONCOLOGY - SCIE","6.733","0.005",
"CELLULAR AND MOLECULAR LIFE SCIENCES","CELL MOL LIFE SCI","1420-682X","1420-9071","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.57","0.065",
"Topics in Current Chemistry","TOP CURR CHEM","0340-1022","1436-5049","CHEMISTRY, MULTIDISCIPLINARY - SCIE","6.568","0.008",
"JOURNAL OF CONTROLLED RELEASE","J CONTROL RELEASE","0168-3659","1873-4995","CHEMISTRY, MULTIDISCIPLINARY - SCIE","6.499","0.046",
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","1044-579X","1096-3650","ONCOLOGY - SCIE","6.475","0.013",
"ACS Chemical Biology","ACS CHEM BIOL","1554-8929","1554-8937","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.446","0.019",
"ANNALS OF ONCOLOGY","ANN ONCOL","0923-7534","1569-8041","ONCOLOGY - SCIE","6.425","0.066",
"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PHILOS T R SOC B","0962-8436","1471-2970","BIOLOGY - SCIE","6.401","0.077",
"JOURNAL OF NUCLEAR MEDICINE","J NUCL MED","0161-5505","1535-5667","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","6.381","0.047",
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.373","0.172",
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","ONCOLOGY - SCIE","6.373","0.172",
"STRUCTURE","STRUCTURE","0969-2126","1878-4186","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.347","0.048",
"GREEN CHEMISTRY","GREEN CHEM","1463-9262","1463-9270","CHEMISTRY, MULTIDISCIPLINARY - SCIE","6.32","0.032",
"JOURNAL OF PATHOLOGY","J PATHOL","0022-3417","1096-9896","ONCOLOGY - SCIE","6.318","0.034",
"TRAC-TRENDS IN ANALYTICAL CHEMISTRY","TRAC-TREND ANAL CHEM","0165-9936","1879-3142","CHEMISTRY, ANALYTICAL - SCIE","6.273","0.017",
"Journal of Physical Chemistry Letters","J PHYS CHEM LETT","1948-7185","N/A","CHEMISTRY, PHYSICAL - SCIE","6.213","0.024",
"CHEMICAL COMMUNICATIONS","CHEM COMMUN","1359-7345","1364-548X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","6.169","0.241",
"CURRENT OPINION IN LIPIDOLOGY","CURR OPIN LIPIDOL","0957-9672","1473-6535","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.086","0.011",
"CANCER TREATMENT REVIEWS","CANCER TREAT REV","0305-7372","1532-1967","ONCOLOGY - SCIE","6.054","0.013",
"ADVANCED SYNTHESIS & CATALYSIS","ADV SYNTH CATAL","1615-4150","1615-4169","CHEMISTRY, APPLIED - SCIE","6.048","0.048",
"JOURNAL OF CATALYSIS","J CATAL","0021-9517","1090-2694","CHEMISTRY, PHYSICAL - SCIE","6.002","0.044",
"JOURNAL OF MATERIALS CHEMISTRY","J MATER CHEM","0959-9428","1364-5501","CHEMISTRY, PHYSICAL - SCIE","5.968","0.126",
"INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY","INT REV PHYS CHEM","0144-235X","1366-591X","CHEMISTRY, PHYSICAL - SCIE","5.967","0.004",
"NEOPLASIA","NEOPLASIA","1522-8002","1476-5586","ONCOLOGY - SCIE","5.946","0.02",
"Circulation-Cardiovascular Imaging","CIRC-CARDIOVASC IMAG","1941-9651","1942-0080","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5.941","0.008",
"CHEMISTRY-A EUROPEAN JOURNAL","CHEM-EUR J","0947-6539","1521-3765","CHEMISTRY, MULTIDISCIPLINARY - SCIE","5.925","0.169",
"Nanoscale","NANOSCALE","2040-3364","2040-3372","CHEMISTRY, MULTIDISCIPLINARY - SCIE","5.914","0.012",
"NEUROIMAGE","NEUROIMAGE","1053-8119","1095-9572","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5.895","0.154",
"HUMAN BRAIN MAPPING","HUM BRAIN MAPP","1065-9471","1097-0193","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5.88","0.036",
"ANALYTICAL CHEMISTRY","ANAL CHEM","0003-2700","1520-6882","CHEMISTRY, ANALYTICAL - SCIE","5.856","0.176",
"CHEMISTRY & BIOLOGY","CHEM BIOL","1074-5521","1879-1301","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.829","0.028",
"BMC BIOLOGY","BMC BIOL","1741-7007","1741-7007","BIOLOGY - SCIE","5.75","0.017",
"RADIOLOGY","RADIOLOGY","0033-8419","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5.726","0.073",
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","1522-8517","1523-5866","ONCOLOGY - SCIE","5.723","0.013",
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.712","0.089",
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","BIOLOGY - SCIE","5.712","0.089",
"CARCINOGENESIS","CARCINOGENESIS","0143-3334","1460-2180","ONCOLOGY - SCIE","5.702","0.046",
"LAB ON A CHIP","LAB CHIP","1473-0197","1473-0189","BIOCHEMICAL RESEARCH METHODS - SCIE","5.67","0.05",
"LAB ON A CHIP","LAB CHIP","1473-0197","1473-0189","CHEMISTRY, MULTIDISCIPLINARY - SCIE","5.67","0.05",
"APPLIED CATALYSIS B-ENVIRONMENTAL","APPL CATAL B-ENVIRON","0926-3373","1873-3883","CHEMISTRY, PHYSICAL - SCIE","5.625","0.047",
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","CHEMISTRY, ANALYTICAL - SCIE","5.602","0.051",
"RADIOTHERAPY AND ONCOLOGY","RADIOTHER ONCOL","0167-8140","1879-0887","ONCOLOGY - SCIE","5.58","0.026",
"RADIOTHERAPY AND ONCOLOGY","RADIOTHER ONCOL","0167-8140","1879-0887","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5.58","0.026",
"JOURNAL OF LIPID RESEARCH","J LIPID RES","0022-2275","1539-7262","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.559","0.05",
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","0737-4038","1537-1719","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.55","0.092",
"Molecular Plant","MOL PLANT","1674-2052","1752-9867","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.546","0.01",
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH","BBA-MOL CELL RES","0167-4889","1879-2596","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.538","0.032",
"EUROPEAN JOURNAL OF CANCER","EUR J CANCER","0959-8049","1879-0852","ONCOLOGY - SCIE","5.536","0.053",
"MOLECULAR AND CELLULAR BIOLOGY","MOL CELL BIOL","0270-7306","1098-5549","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.527","0.174",
"MOLECULAR ECOLOGY","MOL ECOL","0962-1083","1365-294X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.522","0.073",
"BIOMACROMOLECULES","BIOMACROMOLECULES","1525-7797","1526-4602","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.479","0.06",
"BIOINFORMATICS","BIOINFORMATICS","1367-4803","1367-4811","BIOCHEMICAL RESEARCH METHODS - SCIE","5.468","0.159",
"INTERNATIONAL JOURNAL OF CANCER","INT J CANCER","0020-7136","1097-0215","ONCOLOGY - SCIE","5.444","0.112",
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","1936-878X","1876-7591","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5.431","0.013",
"FREE RADICAL BIOLOGY AND MEDICINE","FREE RADICAL BIO MED","0891-5849","1873-4596","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.423","0.053",
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","P ROY SOC B-BIOL SCI","0962-8452","1471-2954","BIOLOGY - SCIE","5.415","0.096",
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE","BBA-MOL BASIS DIS","0925-4439","1879-260X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.387","0.019",
"CARBON","CARBON","0008-6223","1873-3891","CHEMISTRY, PHYSICAL - SCIE","5.378","0.061",
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS","BBA-MOL CELL BIOL L","1388-1981","1879-2618","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.269","0.022",
"JOURNAL OF MEDICINAL CHEMISTRY","J MED CHEM","0022-2623","1520-4804","CHEMISTRY, MEDICINAL - SCIE","5.248","0.096",
"BREAST CANCER RESEARCH","BREAST CANCER RES","1465-542X","1465-542X","ONCOLOGY - SCIE","5.245","0.026",
"MOLECULAR CANCER THERAPEUTICS","MOL CANCER THER","1535-7163","1538-8514","ONCOLOGY - SCIE","5.226","0.057",
"Journal of Chemical Theory and Computation","J CHEM THEORY COMPUT","1549-9618","1549-9626","CHEMISTRY, PHYSICAL - SCIE","5.215","0.04",
"PLoS Computational Biology","PLOS COMPUT BIOL","1553-734X","1553-7358","BIOCHEMICAL RESEARCH METHODS - SCIE","5.215","0.07",
"PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY","PROG NUCL MAG RES SP","0079-6565","1873-3301","CHEMISTRY, PHYSICAL - SCIE","5.214","0.005",
"ChemCatChem","CHEMCATCHEM","1867-3880","1867-3899","CHEMISTRY, PHYSICAL - SCIE","5.207","0.006",
"BRIEFINGS IN BIOINFORMATICS","BRIEF BIOINFORM","1467-5463","1477-4054","BIOCHEMICAL RESEARCH METHODS - SCIE","5.202","0.011",
"JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS","J ENVIRON SCI HEAL C","1059-0501","1532-4095","ONCOLOGY - SCIE","5.16","0.001",
"AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY","AM J RESP CELL MOL","1044-1549","1535-4989","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.125","0.026",
"CURRENT DRUG METABOLISM","CURR DRUG METAB","1389-2002","1875-5453","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.113","0.009",
"JOURNAL OF PROTEOME RESEARCH","J PROTEOME RES","1535-3893","1535-3907","BIOCHEMICAL RESEARCH METHODS - SCIE","5.113","0.07",
"RNA-A PUBLICATION OF THE RNA SOCIETY","RNA","1355-8382","1469-9001","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.095","0.055",
"Molecular Oncology","MOL ONCOL","1574-7891","1878-0261","ONCOLOGY - SCIE","5.082","0.005",
"Pigment Cell & Melanoma Research","PIGM CELL MELANOMA R","1755-1471","1755-148X","ONCOLOGY - SCIE","5.059","0.009",
"BRITISH JOURNAL OF CANCER","BRIT J CANCER","0007-0920","1532-1827","ONCOLOGY - SCIE","5.042","0.083",
"MOLECULAR MICROBIOLOGY","MOL MICROBIOL","0950-382X","1365-2958","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.01","0.091",
"BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS","BBA-GEN SUBJECTS","0304-4165","1872-8006","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5","0.02",
"FARADAY DISCUSSIONS","FARADAY DISCUSS","1364-5498","1364-5498","CHEMISTRY, PHYSICAL - SCIE","5","0.013",
"EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING","EUR J NUCL MED MOL I","1619-7070","1619-7089","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","4.991","0.026",
"BIOESSAYS","BIOESSAYS","0265-9247","1521-1878","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.954","0.024",
"BIOESSAYS","BIOESSAYS","0265-9247","1521-1878","BIOLOGY - SCIE","4.954","0.024",
"BIOFACTORS","BIOFACTORS","0951-6433","1872-8081","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.933","0.005",
"RNA Biology","RNA BIOL","1547-6286","1555-8584","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.933","0.008",
