"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2020 JIF,Eigenfactor
"Wiley Interdisciplinary Reviews-Computational Molecular Science","WIRES COMPUT MOL SCI","1759-0876","1759-0884","CHEMISTRY, MULTIDISCIPLINARY - SCIE","25.113","0.008",
"Nature Chemistry","NAT CHEM","1755-4330","1755-4349","CHEMISTRY, MULTIDISCIPLINARY - SCIE","24.427","0.069",
"Trends in Chemistry","TRENDS CHEM","N/A","2589-5974","CHEMISTRY, MULTIDISCIPLINARY - SCIE","24.081","0.005",
"Annual Review of Biochemistry","ANNU REV BIOCHEM","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","23.643","0.021",
"ACS Energy Letters","ACS ENERGY LETT","2380-8195","2380-8195","CHEMISTRY, PHYSICAL - SCIE","23.101","0.072",
"Chem","CHEM-US","2451-9294","2451-9294","CHEMISTRY, MULTIDISCIPLINARY - SCIE","22.804","0.033",
"ACCOUNTS OF CHEMICAL RESEARCH","ACCOUNTS CHEM RES","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY - SCIE","22.384","0.098",
"COORDINATION CHEMISTRY REVIEWS","COORDIN CHEM REV","0010-8545","1873-3840","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","22.315","0.04",
"Nano Today","NANO TODAY","1748-0132","1878-044X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","20.722","0.011",
"CATALYSIS REVIEWS-SCIENCE AND ENGINEERING","CATAL REV","0161-4940","1520-5703","CHEMISTRY, PHYSICAL - SCIE","20.217","0.001",
"APPLIED CATALYSIS B-ENVIRONMENTAL","APPL CATAL B-ENVIRON","0926-3373","1873-3883","CHEMISTRY, PHYSICAL - SCIE","19.503","0.126",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, MULTIDISCIPLINARY - SCIE","18.808","0.206",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, PHYSICAL - SCIE","18.808","0.206",
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","2095-9907","2059-3635","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","18.187","0.006",
"MOLECULAR CELL","MOL CELL","1097-2765","1097-4164","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","17.97","0.162",
"Nano Energy","NANO ENERGY","2211-2855","2211-3282","CHEMISTRY, PHYSICAL - SCIE","17.881","0.124",
"Energy Storage Materials","ENERGY STORAGE MATER","2405-8297","2405-8289","CHEMISTRY, PHYSICAL - SCIE","17.789","0.028",
"Journal of Hematology & Oncology","J HEMATOL ONCOL","N/A","1756-8722","ONCOLOGY - SCIE","17.388","0.018",
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","0966-842X","1878-4380","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","17.079","0.023",
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","16.971","0.387",
"Advanced Science","ADV SCI","N/A","2198-3844","CHEMISTRY, MULTIDISCIPLINARY - SCIE","16.806","0.054",
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","0737-4038","1537-1719","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","16.24","0.082",
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","1359-4184","1476-5578","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","15.992","0.046",
"ACS Nano","ACS NANO","1936-0851","1936-086X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","15.881","0.247",
"ACS Nano","ACS NANO","1936-0851","1936-086X","CHEMISTRY, PHYSICAL - SCIE","15.881","0.247",
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","15.828","0.029",
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","1044-579X","1096-3650","ONCOLOGY - SCIE","15.707","0.012",
"Journal of Thoracic Oncology","J THORAC ONCOL","1556-0864","1556-1380","ONCOLOGY - SCIE","15.609","0.043",
"Journal of the American Chemical Society","J AM CHEM SOC","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY - SCIE","15.419","0.519",
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","1545-9993","1545-9985","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","15.369","0.051",
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","ANGEW CHEM INT EDIT","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY - SCIE","15.336","0.479",
"PROGRESS IN LIPID RESEARCH","PROG LIPID RES","0163-7827","1873-2194","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","15.136","0.005",
"Nature Chemical Biology","NAT CHEM BIOL","1552-4450","1552-4469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","15.04","0.048",
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","1936-878X","1876-7591","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","14.805","0.032",
"ACS Central Science","ACS CENTRAL SCI","2374-7943","2374-7951","CHEMISTRY, MULTIDISCIPLINARY - SCIE","14.553","0.032",
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","0098-2997","1872-9452","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","14.235","0.007",
"Trends in Cancer","TRENDS CANCER","2405-8025","2405-8033","ONCOLOGY - SCIE","14.226","0.012",
"Small Methods","SMALL METHODS","2366-9608","2366-9608","CHEMISTRY, PHYSICAL - SCIE","14.188","0.014",
"TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","0968-0004","1362-4326","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.807","0.026",
"Journal for ImmunoTherapy of Cancer","J IMMUNOTHER CANCER","N/A","2051-1426","ONCOLOGY - SCIE","13.751","0.029",
"JNCI-Journal of the National Cancer Institute","JNCI-J NATL CANCER I","0027-8874","1460-2105","ONCOLOGY - SCIE","13.506","0.038",
"Nature Protocols","NAT PROTOC","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS - SCIE","13.491","0.058",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.423","0.011",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","CHEMISTRY, MEDICINAL - SCIE","13.423","0.011",
"Small","SMALL","1613-6810","1613-6829","CHEMISTRY, MULTIDISCIPLINARY - SCIE","13.281","0.105",
"Small","SMALL","1613-6810","1613-6829","CHEMISTRY, PHYSICAL - SCIE","13.281","0.105",
"Materials Horizons","MATER HORIZ","2051-6347","2051-6355","CHEMISTRY, MULTIDISCIPLINARY - SCIE","13.266","0.018",
"Molecular Plant","MOL PLANT","1674-2052","1752-9867","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13.164","0.027",
"ACS Catalysis","ACS CATAL","2155-5435","2155-5435","CHEMISTRY, PHYSICAL - SCIE","13.084","0.166",
"ADVANCES IN COLLOID AND INTERFACE SCIENCE","ADV COLLOID INTERFAC","0001-8686","1873-3727","CHEMISTRY, PHYSICAL - SCIE","12.984","0.012",
"MEDICINAL RESEARCH REVIEWS","MED RES REV","0198-6325","1098-1128","CHEMISTRY, MEDICINAL - SCIE","12.944","0.006",
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS","J PHOTOCH PHOTOBIO C","1389-5567","1873-2739","CHEMISTRY, PHYSICAL - SCIE","12.927","0.003",
"BIOLOGICAL REVIEWS","BIOL REV","1464-7931","1469-185X","BIOLOGY - SCIE","12.82","0.02",
"Journal of Materials Chemistry A","J MATER CHEM A","2050-7488","2050-7496","CHEMISTRY, PHYSICAL - SCIE","12.732","0.284",
"Annual Review of Physical Chemistry","ANNU REV PHYS CHEM","0066-426X","1545-1593","CHEMISTRY, PHYSICAL - SCIE","12.703","0.007",
"CANCER RESEARCH","CANCER RES","0008-5472","1538-7445","ONCOLOGY - SCIE","12.701","0.106",
"CLINICAL CANCER RESEARCH","CLIN CANCER RES","1078-0432","1557-3265","ONCOLOGY - SCIE","12.531","0.132",
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","1522-8517","1523-5866","ONCOLOGY - SCIE","12.3","0.029",
"TRAC-TRENDS IN ANALYTICAL CHEMISTRY","TRAC-TREND ANAL CHEM","0165-9936","1879-3142","CHEMISTRY, ANALYTICAL - SCIE","12.296","0.026",
"SURFACE SCIENCE REPORTS","SURF SCI REP","0167-5729","1879-274X","CHEMISTRY, PHYSICAL - SCIE","12.267","0.002",
"npj Computational Materials","NPJ COMPUT MATER","N/A","2057-3960","CHEMISTRY, PHYSICAL - SCIE","12.241","0.012",
"Advances in Carbohydrate Chemistry and Biochemistry","ADV CARBOHYD CHEM BI","0065-2318","2162-5530","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","12.2","0",
"CANCER TREATMENT REVIEWS","CANCER TREAT REV","0305-7372","1532-1967","ONCOLOGY - SCIE","12.111","0.017",
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.951","0.015",
"Journal of the National Comprehensive Cancer Network","J NATL COMPR CANC NE","1540-1405","1540-1413","ONCOLOGY - SCIE","11.908","0.022",
"Redox Biology","REDOX BIOL","2213-2317","2213-2317","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.799","0.025",
"Liver Cancer","LIVER CANCER","2235-1795","1664-5553","ONCOLOGY - SCIE","11.74","0.003",
"BRIEFINGS IN BIOINFORMATICS","BRIEF BIOINFORM","1467-5463","1477-4054","BIOCHEMICAL RESEARCH METHODS - SCIE","11.622","0.018",
"EMBO JOURNAL","EMBO J","0261-4189","1460-2075","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.598","0.055",
"MATRIX BIOLOGY","MATRIX BIOL","0945-053X","1569-1802","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.583","0.011",
"LEUKEMIA","LEUKEMIA","0887-6924","1476-5551","ONCOLOGY - SCIE","11.528","0.046",
"Clinical and Translational Medicine","CLIN TRANSL MED","2001-1326","2001-1326","ONCOLOGY - SCIE","11.492","0.003",
"Molecular Systems Biology","MOL SYST BIOL","1744-4292","1744-4292","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.429","0.016",
"PLANT CELL","PLANT CELL","1040-4651","1532-298X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.277","0.036",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, MULTIDISCIPLINARY - SCIE","11.189","0.206",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, PHYSICAL - SCIE","11.189","0.206",
"JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH","J EXP CLIN CANC RES","N/A","1756-9966","ONCOLOGY - SCIE","11.161","0.023",
"Cancer Immunology Research","CANCER IMMUNOL RES","2326-6066","2326-6074","ONCOLOGY - SCIE","11.151","0.027",
"RADIOLOGY","RADIOLOGY","0033-8419","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","11.105","0.053",
"Annual Review of Chemical and Biomolecular Engineering","ANNU REV CHEM BIOMOL","1947-5438","1947-5446","CHEMISTRY, APPLIED - SCIE","11.059","0.003",
"Blood Cancer Journal","BLOOD CANCER J","2044-5385","2044-5385","ONCOLOGY - SCIE","11.037","0.011",
"Physics of Life Reviews","PHYS LIFE REV","1571-0645","1873-1457","BIOLOGY - SCIE","11.025","0.003",
"Nanoscale Horizons","NANOSCALE HORIZ","2055-6756","2055-6764","CHEMISTRY, PHYSICAL - SCIE","10.989","0.006",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.834","0.116",
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOLOGY - SCIE","10.834","0.116",
"Annual Review of Analytical Chemistry","ANNU REV ANAL CHEM","1936-1327","1936-1335","CHEMISTRY, ANALYTICAL - SCIE","10.745","0.004",
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","0304-419X","1879-2561","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.68","0.007",
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","0304-419X","1879-2561","ONCOLOGY - SCIE","10.68","0.007",
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","CHEMISTRY, ANALYTICAL - SCIE","10.618","0.075",
"Cancer Communications","CANCER COMMUN","N/A","2523-3548","ONCOLOGY - SCIE","10.392","0.003",
"Cell Systems","CELL SYST","2405-4712","2405-4720","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.304","0.035",
"GREEN CHEMISTRY","GREEN CHEM","1463-9262","1463-9270","CHEMISTRY, MULTIDISCIPLINARY - SCIE","10.182","0.057",
"JOURNAL OF NUCLEAR MEDICINE","J NUCL MED","0161-5505","1535-5667","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","10.057","0.033",
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","0278-0062","1558-254X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","10.048","0.034",
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.867","0.059",
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","ONCOLOGY - SCIE","9.867","0.059",
"Chemical Science","CHEM SCI","2041-6520","2041-6539","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.825","0.128",
"CHEMISTRY OF MATERIALS","CHEM MATER","0897-4756","1520-5002","CHEMISTRY, PHYSICAL - SCIE","9.811","0.13",
"PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY","PROG NUCL MAG RES SP","0079-6565","1873-3301","CHEMISTRY, PHYSICAL - SCIE","9.795","0.002",
"JOURNAL OF CONTROLLED RELEASE","J CONTROL RELEASE","0168-3659","1873-4995","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.776","0.044",
"CURRENT OPINION IN BIOTECHNOLOGY","CURR OPIN BIOTECH","0958-1669","1879-0429","BIOCHEMICAL RESEARCH METHODS - SCIE","9.74","0.02",
"Journal of Energy Chemistry","J ENERGY CHEM","2095-4956","2095-4956","CHEMISTRY, APPLIED - SCIE","9.676","0.01",
"Journal of Energy Chemistry","J ENERGY CHEM","2095-4956","2095-4956","CHEMISTRY, PHYSICAL - SCIE","9.676","0.01",
"SEPARATION AND PURIFICATION REVIEWS","SEP PURIF REV","1542-2119","1542-2127","CHEMISTRY, ANALYTICAL - SCIE","9.636","0.002",
"SEPARATION AND PURIFICATION REVIEWS","SEP PURIF REV","1542-2119","1542-2127","CHEMISTRY, APPLIED - SCIE","9.636","0.002",
"Trends in Environmental Analytical Chemistry","TRENDS ENVIRON ANAL","2214-1588","2214-1588","CHEMISTRY, ANALYTICAL - SCIE","9.6","0.001",
"CARBON","CARBON","0008-6223","1873-3891","CHEMISTRY, PHYSICAL - SCIE","9.594","0.078",
"Science China-Chemistry","SCI CHINA CHEM","1674-7291","1869-1870","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.445","0.01",
"Annual Review of Cancer Biology-Series","ANNU REV CANCER BIOL","2472-3428","2472-3428","ONCOLOGY - SCIE","9.391","0.003",
"CARBOHYDRATE POLYMERS","CARBOHYD POLYM","0144-8617","1879-1344","CHEMISTRY, APPLIED - SCIE","9.381","0.067",
"CANCER AND METASTASIS REVIEWS","CANCER METAST REV","0167-7659","1573-7233","ONCOLOGY - SCIE","9.264","0.006",
"CELLULAR AND MOLECULAR LIFE SCIENCES","CELL MOL LIFE SCI","1420-682X","1420-9071","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.261","0.034",
"EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING","EUR J NUCL MED MOL I","1619-7070","1619-7089","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","9.236","0.024",
"EUROPEAN JOURNAL OF CANCER","EUR J CANCER","0959-8049","1879-0852","ONCOLOGY - SCIE","9.162","0.047",
"FOOD HYDROCOLLOIDS","FOOD HYDROCOLLOID","0268-005X","1873-7137","CHEMISTRY, APPLIED - SCIE","9.147","0.032",
"JOURNAL OF POWER SOURCES","J POWER SOURCES","0378-7753","1873-2755","CHEMISTRY, PHYSICAL - SCIE","9.127","0.105",
"Topics in Current Chemistry","TOPICS CURR CHEM","2365-0869","2364-8961","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.06","0.007",
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.043","0.065",
"Environmental Chemistry Letters","ENVIRON CHEM LETT","1610-3653","1610-3661","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.027","0.004",
"ChemSusChem","CHEMSUSCHEM","1864-5631","1864-564X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.928","0.044",
"Nano Research","NANO RES","1998-0124","1998-0000","CHEMISTRY, PHYSICAL - SCIE","8.897","0.034",
"CURRENT OPINION IN CHEMICAL BIOLOGY","CURR OPIN CHEM BIOL","1367-5931","1879-0402","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.822","0.014",
"EMBO REPORTS","EMBO REP","1469-221X","1469-3178","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.807","0.027",
"EXPERIMENTAL AND MOLECULAR MEDICINE","EXP MOL MED","1226-3613","2092-6413","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.718","0.013",
"CANCER LETTERS","CANCER LETT","0304-3835","1872-7980","ONCOLOGY - SCIE","8.679","0.04",
"BIOSCIENCE","BIOSCIENCE","0006-3568","1525-3244","BIOLOGY - SCIE","8.589","0.012",
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","1361-8415","1361-8423","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","8.545","0.018",
"Photoacoustics","PHOTOACOUSTICS","2213-5979","2213-5979","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","8.484","0.002",
"ANTIOXIDANTS & REDOX SIGNALING","ANTIOXID REDOX SIGN","1523-0864","1557-7716","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.401","0.017",
"Materials Today Chemistry","MATER TODAY CHEM","2468-5194","2468-5194","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.301","0.003",
"CHINESE JOURNAL OF CATALYSIS","CHINESE J CATAL","0253-9837","1872-2067","CHEMISTRY, APPLIED - SCIE","8.271","0.01",
"CHINESE JOURNAL OF CATALYSIS","CHINESE J CATAL","0253-9837","1872-2067","CHEMISTRY, PHYSICAL - SCIE","8.271","0.01",
"npj Precision Oncology","NPJ PRECIS ONCOL","N/A","2397-768X","ONCOLOGY - SCIE","8.254","0.003",
"CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","CRIT REV BIOCHEM MOL","1040-9238","1549-7798","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.25","0.005",
"Science Signaling","SCI SIGNAL","1945-0877","1937-9145","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.218","0.024",
"Green Energy & Environment","GREEN ENERGY ENVIRON","2096-2797","2468-0257","CHEMISTRY, PHYSICAL - SCIE","8.207","0.002",
"ACS Sustainable Chemistry & Engineering","ACS SUSTAIN CHEM ENG","2168-0485","2168-0485","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.198","0.092",
"Therapeutic Advances in Medical Oncology","THER ADV MED ONCOL","1758-8340","1758-8359","ONCOLOGY - SCIE","8.168","0.005",
"eLife","ELIFE","2050-084X","2050-084X","BIOLOGY - SCIE","8.146","0.288",
"Environmental Science-Nano","ENVIRON SCI-NANO","2051-8153","2051-8161","CHEMISTRY, MULTIDISCIPLINARY - SCIE","8.131","0.013",
"JOURNAL OF COLLOID AND INTERFACE SCIENCE","J COLLOID INTERF SCI","0021-9797","1095-7103","CHEMISTRY, PHYSICAL - SCIE","8.128","0.061",
"Cell Chemical Biology","CELL CHEM BIOL","2451-9448","2451-9448","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.116","0.018",
"OncoImmunology","ONCOIMMUNOLOGY","2162-402X","2162-402X","ONCOLOGY - SCIE","8.11","0.03",
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.029","0.06",
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOLOGY - SCIE","8.029","0.06",
"Essays in Biochemistry","ESSAYS BIOCHEM","0071-1365","1744-1358","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8","0.006",
"JOURNAL OF PATHOLOGY","J PATHOL","0022-3417","1096-9896","ONCOLOGY - SCIE","7.996","0.018",
"JOURNAL OF CATALYSIS","J CATAL","0021-9517","1090-2694","CHEMISTRY, PHYSICAL - SCIE","7.92","0.033",
"Nanotechnology Reviews","NANOTECHNOL REV","2191-9089","2191-9097","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7.848","0.001",
"CLINICAL NUCLEAR MEDICINE","CLIN NUCL MED","0363-9762","1536-0229","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","7.794","0.007",
"Circulation-Cardiovascular Imaging","CIRC-CARDIOVASC IMAG","1941-9651","1942-0080","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","7.792","0.015",
"Nanoscale","NANOSCALE","2040-3364","2040-3372","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7.79","0.171",
"BIOINORGANIC CHEMISTRY AND APPLICATIONS","BIOINORG CHEM APPL","1565-3633","1687-479X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.778","0.001",
"BIOINORGANIC CHEMISTRY AND APPLICATIONS","BIOINORG CHEM APPL","1565-3633","1687-479X","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","7.778","0.001",
"ACS Sensors","ACS SENSORS","2379-3694","2379-3694","CHEMISTRY, ANALYTICAL - SCIE","7.711","0.02",
"ACS Sensors","ACS SENSORS","2379-3694","2379-3694","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7.711","0.02",
"Acta Crystallographica Section D-Structural Biology","ACTA CRYSTALLOGR D","2059-7983","2059-7983","BIOCHEMICAL RESEARCH METHODS - SCIE","7.652","0.02",
"Acta Crystallographica Section D-Structural Biology","ACTA CRYSTALLOGR D","2059-7983","2059-7983","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.652","0.02",
"BRITISH JOURNAL OF CANCER","BRIT J CANCER","0007-0920","1532-1827","ONCOLOGY - SCIE","7.64","0.042",
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","1359-6101","1879-0305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.638","0.006",
"FOOD CHEMISTRY","FOOD CHEM","0308-8146","1873-7072","CHEMISTRY, APPLIED - SCIE","7.514","0.1",
"ULTRASONICS SONOCHEMISTRY","ULTRASON SONOCHEM","1350-4177","1873-2828","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7.491","0.022",
"Oncogenesis","ONCOGENESIS","2157-9024","2157-9024","ONCOLOGY - SCIE","7.485","0.008",
"European Urology Oncology","EUR UROL ONCOL","N/A","2588-9311","ONCOLOGY - SCIE","7.479","0.004",
