"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI Selected JCR Year: 2005 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2005 JIF,Eigenfactor
"PLANT CELL","PLANT CELL","1040-4651","1532-298X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11.088","N/A",
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.139","N/A",
"EMBO JOURNAL","EMBO J","0261-4189","1460-2075","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10.053","N/A",
"MOLECULAR & CELLULAR PROTEOMICS","MOL CELL PROTEOMICS","1535-9476","1535-9484","BIOCHEMICAL RESEARCH METHODS - SCIE","9.876","N/A",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.847","N/A",
"COORDINATION CHEMISTRY REVIEWS","COORDIN CHEM REV","0010-8545","1873-3840","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","9.779","N/A",
"LANCET ONCOLOGY","LANCET ONCOL","1470-2045","1474-5488","ONCOLOGY - SCIE","9.608","N/A",
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","ANGEW CHEM INT EDIT","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY - SCIE","9.596","N/A",
"CURRENT OPINION IN STRUCTURAL BIOLOGY","CURR OPIN STRUC BIOL","0959-440X","1879-033X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.559","N/A",
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","1359-4184","1476-5578","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.335","N/A",
"ADVANCES IN MICROBIAL PHYSIOLOGY","ADV MICROB PHYSIOL","0065-2911","2162-5468","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.3","N/A",
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","1359-6101","1879-0305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.075","N/A",
"CURRENT OPINION IN CHEMICAL BIOLOGY","CURR OPIN CHEM BIOL","1367-5931","1879-0402","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.451","N/A",
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS","J PHOTOCH PHOTOBIO C","1389-5567","1873-2739","CHEMISTRY, PHYSICAL - SCIE","8.167","N/A",
"CANCER AND METASTASIS REVIEWS","CANCER METAST REV","0167-7659","1573-7233","ONCOLOGY - SCIE","8.017","N/A",
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","1044-579X","1096-3650","ONCOLOGY - SCIE","7.99","N/A",
"MEDICINAL RESEARCH REVIEWS","MED RES REV","0198-6325","1098-1128","CHEMISTRY, MEDICINAL - SCIE","7.964","N/A",
"ADVANCES IN CANCER RESEARCH","ADV CANCER RES","0065-230X","2162-5557","ONCOLOGY - SCIE","7.909","N/A",
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.785","N/A",
"HUMAN MOLECULAR GENETICS","HUM MOL GENET","0964-6906","1460-2083","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.764","N/A",
"EMBO REPORTS","EMBO REP","1469-221X","1469-3178","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.663","N/A",
"CANCER RESEARCH","CANCER RES","0008-5472","1538-7445","ONCOLOGY - SCIE","7.616","N/A",
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.552","N/A",
"CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","CRIT REV BIOCHEM MOL","1040-9238","1549-7798","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.423","N/A",
"JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","J AM CHEM SOC","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7.419","N/A",
"QUARTERLY REVIEW OF BIOLOGY","Q REV BIOL","0033-5770","1539-7718","BIOLOGY - SCIE","7.333","N/A",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.325","N/A",
"NATURAL PRODUCT REPORTS","NAT PROD REP","0265-0568","1460-4752","CHEMISTRY, MEDICINAL - SCIE","7.325","N/A",
"MOLECULAR AND CELLULAR BIOLOGY","MOL CELL BIOL","0270-7306","1098-5549","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.093","N/A",
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.064","N/A",
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","BIOLOGY - SCIE","7.064","N/A",
"JOURNAL OF PROTEOME RESEARCH","J PROTEOME RES","1535-3893","1535-3907","BIOCHEMICAL RESEARCH METHODS - SCIE","6.901","N/A",
"CURRENT OPINION IN BIOTECHNOLOGY","CURR OPIN BIOTECH","0958-1669","1879-0429","BIOCHEMICAL RESEARCH METHODS - SCIE","6.898","N/A",
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.872","N/A",
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","ONCOLOGY - SCIE","6.872","N/A",
"BIOESSAYS","BIOESSAYS","0265-9247","1521-1878","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.787","N/A",
"BIOESSAYS","BIOESSAYS","0265-9247","1521-1878","BIOLOGY - SCIE","6.787","N/A",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, PHYSICAL - SCIE","6.77","N/A",
"NATURE METHODS","NAT METHODS","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS - SCIE","6.741","N/A",
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","0966-842X","1878-4380","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.648","N/A",
"LEUKEMIA","LEUKEMIA","0887-6924","1476-5551","ONCOLOGY - SCIE","6.612","N/A",
"PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY","PROG NUCL MAG RES SP","0079-6565","1873-3301","CHEMISTRY, PHYSICAL - SCIE","6.462","N/A",
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","0737-4038","1537-1719","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.233","N/A",
"MOLECULAR MICROBIOLOGY","MOL MICROBIOL","0950-382X","1365-2958","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.203","N/A",
"RNA-A PUBLICATION OF THE RNA SOCIETY","RNA","1355-8382","1469-9001","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.145","N/A",
"CHEMISTRY & BIOLOGY","CHEM BIOL","1074-5521","1879-1301","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.138","N/A",
"STEM CELLS","STEM CELLS","1066-5099","1549-4918","ONCOLOGY - SCIE","6.094","N/A",
"PROTEOMICS","PROTEOMICS","1615-9853","1615-9861","BIOCHEMICAL RESEARCH METHODS - SCIE","6.088","N/A",
"PROTEOMICS","PROTEOMICS","1615-9853","1615-9861","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.088","N/A",
"BIOLOGICAL REVIEWS","BIOL REV","1464-7931","1469-185X","BIOLOGY - SCIE","6.038","N/A",
"BIOINFORMATICS","BIOINFORMATICS","1367-4803","1367-4811","BIOCHEMICAL RESEARCH METHODS - SCIE","6.019","N/A",
"ANTISENSE & NUCLEIC ACID DRUG DEVELOPMENT","ANTISENSE NUCLEIC A","1087-2906","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.941","N/A",
"JOURNAL OF BIOLOGICAL CHEMISTRY","J BIOL CHEM","0021-9258","1083-351X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.854","N/A",
"CLINICAL CANCER RESEARCH","CLIN CANCER RES","1078-0432","1557-3265","ONCOLOGY - SCIE","5.715","N/A",
"ADVANCES IN ORGANOMETALLIC CHEMISTRY","ADV ORGANOMET CHEM","0065-3055","2162-7614","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","5.688","N/A",
"ANALYTICAL CHEMISTRY","ANAL CHEM","0003-2700","1520-6882","CHEMISTRY, ANALYTICAL - SCIE","5.635","N/A",
"STRUCTURE","STRUCTURE","0969-2126","1878-4186","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.543","N/A",
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.505","N/A",
"MOLECULAR CANCER RESEARCH","MOL CANCER RES","1541-7786","1557-3125","ONCOLOGY - SCIE","5.417","N/A",
"CURRENT DRUG METABOLISM","CURR DRUG METAB","1389-2002","1875-5453","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.416","N/A",
"RADIOLOGY","RADIOLOGY","0033-8419","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5.377","N/A",
"CURRENT OPINION IN LIPIDOLOGY","CURR OPIN LIPIDOL","0957-9672","1473-6535","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.314","N/A",
"CATALYSIS REVIEWS-SCIENCE AND ENGINEERING","CATAL REV","0161-4940","1520-5703","CHEMISTRY, PHYSICAL - SCIE","5.312","N/A",
"GOLD BULLETIN","GOLD BULL","0017-1557","2190-7579","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","5.296","N/A",
"NEUROIMAGE","NEUROIMAGE","1053-8119","1095-9572","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5.288","N/A",
"LAB ON A CHIP","LAB CHIP","1473-0197","1473-0189","BIOCHEMICAL RESEARCH METHODS - SCIE","5.265","N/A",
"LAB ON A CHIP","LAB CHIP","1473-0197","1473-0189","CHEMISTRY, MULTIDISCIPLINARY - SCIE","5.265","N/A",
"JOURNAL OF MOLECULAR BIOLOGY","J MOL BIOL","0022-2836","1089-8638","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.229","N/A",
"MOLECULAR CANCER THERAPEUTICS","MOL CANCER THER","1535-7163","1538-8514","ONCOLOGY - SCIE","5.171","N/A",
"PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY","PROG BIOPHYS MOL BIO","0079-6107","1873-1732","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.148","N/A",
"CURRENT OPINION IN COLLOID & INTERFACE SCIENCE","CURR OPIN COLLOID IN","1359-0294","1879-0399","CHEMISTRY, PHYSICAL - SCIE","5.146","N/A",
"ONCOLOGIST","ONCOLOGIST","1083-7159","1549-490X","ONCOLOGY - SCIE","5.134","N/A",
"CARCINOGENESIS","CARCINOGENESIS","0143-3334","1460-2180","ONCOLOGY - SCIE","5.108","N/A",
"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PHILOS T ROY SOC B","0962-8436","N/A","BIOLOGY - SCIE","4.997","N/A",
"FREE RADICAL BIOLOGY AND MEDICINE","FREE RADICAL BIO MED","0891-5849","1873-4596","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.971","N/A",
"BMC BIOINFORMATICS","BMC BIOINFORMATICS","1471-2105","1471-2105","BIOCHEMICAL RESEARCH METHODS - SCIE","4.958","N/A",
"JOURNAL OF MEDICINAL CHEMISTRY","J MED CHEM","0022-2623","1520-4804","CHEMISTRY, MEDICINAL - SCIE","4.926","N/A",
"CHEMISTRY-A EUROPEAN JOURNAL","CHEM-EUR J","0947-6539","1521-3765","CHEMISTRY, MULTIDISCIPLINARY - SCIE","4.907","N/A",
"ENDOCRINE-RELATED CANCER","ENDOCR-RELAT CANCER","1351-0088","1479-6821","ONCOLOGY - SCIE","4.905","N/A",
"CURRENT MEDICINAL CHEMISTRY","CURR MED CHEM","0929-8673","1875-533X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.904","N/A",
"CURRENT MEDICINAL CHEMISTRY","CURR MED CHEM","0929-8673","1875-533X","CHEMISTRY, MEDICINAL - SCIE","4.904","N/A",
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH","BBA-MOL CELL RES","0167-4889","1879-2596","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.844","N/A",
"GENE THERAPY","GENE THER","0969-7128","1476-5462","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.836","N/A",
"CHEMISTRY OF MATERIALS","CHEM MATER","0897-4756","1520-5002","CHEMISTRY, PHYSICAL - SCIE","4.818","N/A",
"CANCER","CANCER-AM CANCER SOC","0008-543X","1097-0142","ONCOLOGY - SCIE","4.8","N/A",
"JOURNAL OF CATALYSIS","J CATAL","0021-9517","1090-2694","CHEMISTRY, PHYSICAL - SCIE","4.78","N/A",
"BIOSCIENCE","BIOSCIENCE","0006-3568","1525-3244","BIOLOGY - SCIE","4.708","N/A",
"INTERNATIONAL JOURNAL OF CANCER","INT J CANCER","0020-7136","1097-0215","ONCOLOGY - SCIE","4.7","N/A",
"JOURNAL OF NUCLEAR MEDICINE","J NUCL MED","0161-5505","1535-5667","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","4.684","N/A",
"PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS","PROTEINS","0887-3585","1097-0134","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.684","N/A",
"BREAST CANCER RESEARCH AND TREATMENT","BREAST CANCER RES TR","0167-6806","1573-7217","ONCOLOGY - SCIE","4.643","N/A",
"PHYSIOLOGICAL GENOMICS","PHYSIOL GENOMICS","1094-8341","1531-2267","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.636","N/A",
"ADVANCED SYNTHESIS & CATALYSIS","ADV SYNTH CATAL","1615-4150","1615-4169","CHEMISTRY, APPLIED - SCIE","4.632","N/A",
"JOURNAL OF NEUROCHEMISTRY","J NEUROCHEM","0022-3042","1471-4159","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.604","N/A",
"CMLS-Cellular and Molecular Life Sciences","CMLS-CELL MOL LIFE S","1420-682X","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.582","N/A",
"INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS","INT J RADIAT ONCOL","0360-3016","1879-355X","ONCOLOGY - SCIE","4.556","N/A",
"INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS","INT J RADIAT ONCOL","0360-3016","1879-355X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","4.556","N/A",
"CANCER TREATMENT REVIEWS","CANCER TREAT REV","0305-7372","1532-1967","ONCOLOGY - SCIE","4.549","N/A",
"APOPTOSIS","APOPTOSIS","1360-8185","1573-675X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.497","N/A",
"BMC MOLECULAR BIOLOGY","BMC MOL BIOL","1471-2199","1471-2199","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.485","N/A",
"INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY","INT REV PHYS CHEM","0144-235X","1366-591X","CHEMISTRY, PHYSICAL - SCIE","4.484","N/A",
"MATRIX BIOLOGY","MATRIX BIOL","0945-053X","1569-1802","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.469","N/A",
"CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION","CANCER EPIDEM BIOMAR","1055-9965","1538-7755","ONCOLOGY - SCIE","4.46","N/A",
"CHEMISTRY AND PHYSICS OF CARBON","CHEM PHYS CARBON","0069-3138","N/A","CHEMISTRY, PHYSICAL - SCIE","4.429","N/A",
"CHEMICAL COMMUNICATIONS","CHEM COMMUN","1359-7345","1364-548X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","4.426","N/A",
"CURRENT TOPICS IN MEDICINAL CHEMISTRY","CURR TOP MED CHEM","1568-0266","1873-4294","CHEMISTRY, MEDICINAL - SCIE","4.4","N/A",
"VITAMINS AND HORMONES-ADVANCES IN RESEARCH AND APPLICATIONS","VITAM HORM","0083-6729","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.394","N/A",
"JOURNAL OF BIOLOGICAL RHYTHMS","J BIOL RHYTHM","0748-7304","1552-4531","BIOLOGY - SCIE","4.367","N/A",
"ANNALS OF ONCOLOGY","ANN ONCOL","0923-7534","1569-8041","ONCOLOGY - SCIE","4.319","N/A",
"HUMAN BRAIN MAPPING","HUM BRAIN MAPP","1065-9471","1097-0193","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","4.317","N/A",
"BIOCHEMICAL SOCIETY SYMPOSIUM","BIOCHEM SOC SYMP","0067-8694","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.308","N/A",
"MOLECULAR IMMUNOLOGY","MOL IMMUNOL","0161-5890","1872-9142","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.307","N/A",
"BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS","BBA-BIOENERGETICS","0005-2728","1879-2650","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.302","N/A",
"MOLECULAR ECOLOGY","MOL ECOL","0962-1083","1365-294X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.301","N/A",
"ANTIOXIDANTS & REDOX SIGNALING","ANTIOXID REDOX SIGN","1523-0864","1557-7716","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.232","N/A",
"BIOCHEMICAL JOURNAL","BIOCHEM J","0264-6021","1470-8728","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.224","N/A",
"BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES","BBA-BIOMEMBRANES","0005-2736","1879-2642","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.224","N/A",
"PROGRESS IN EXPERIMENTAL TUMOR RESEARCH","PROG EXP TUMOR RES","0079-6263","N/A","ONCOLOGY - SCIE","4.214","N/A",
"ADVANCES IN COLLOID AND INTERFACE SCIENCE","ADV COLLOID INTERFAC","0001-8686","1873-3727","CHEMISTRY, PHYSICAL - SCIE","4.198","N/A",
"TOPICS IN CURRENT CHEMISTRY","TOP CURR CHEM","0340-1022","1436-5049","CHEMISTRY, MULTIDISCIPLINARY - SCIE","4.163","N/A",
"CELLULAR ONCOLOGY","CELL ONCOL","1570-5870","2211-3436","ONCOLOGY - SCIE","4.16","N/A",
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","1522-8517","1523-5866","ONCOLOGY - SCIE","4.15","N/A",
"CURRENT PROTEIN & PEPTIDE SCIENCE","CURR PROTEIN PEPT SC","1389-2037","1875-5550","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.148","N/A",
"EXPERIMENTAL CELL RESEARCH","EXP CELL RES","0014-4827","1090-2422","ONCOLOGY - SCIE","4.148","N/A",
"BRITISH JOURNAL OF CANCER","BRIT J CANCER","0007-0920","1532-1827","ONCOLOGY - SCIE","4.115","N/A",
"TRAC-TRENDS IN ANALYTICAL CHEMISTRY","TRAC-TREND ANAL CHEM","0165-9936","1879-3142","CHEMISTRY, ANALYTICAL - SCIE","4.088","N/A",
"CANCER IMMUNOLOGY IMMUNOTHERAPY","CANCER IMMUNOL IMMUN","0340-7004","1432-0851","ONCOLOGY - SCIE","4.086","N/A",
"JOURNAL OF PHYSICAL CHEMISTRY B","J PHYS CHEM B","1520-6106","1520-5207","CHEMISTRY, PHYSICAL - SCIE","4.033","N/A",
"BREAST CANCER RESEARCH","BREAST CANCER RES","1465-5411","1465-542X","ONCOLOGY - SCIE","4.026","N/A",
"AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY","AM J RESP CELL MOL","1044-1549","1535-4989","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.988","N/A",
"PROGRESS IN NUCLEIC ACID RESEARCH AND MOLECULAR BIOLOGY","PROG NUCLEIC ACID RE","0079-6603","N/A","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.976","N/A",
"BIOCONJUGATE CHEMISTRY","BIOCONJUGATE CHEM","1043-1802","1520-4812","BIOCHEMICAL RESEARCH METHODS - SCIE","3.943","N/A",
"BIOCONJUGATE CHEMISTRY","BIOCONJUGATE CHEM","1043-1802","1520-4812","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.943","N/A",
"BIOCONJUGATE CHEMISTRY","BIOCONJUGATE CHEM","1043-1802","1520-4812","CHEMISTRY, MULTIDISCIPLINARY - SCIE","3.943","N/A",
"CHEMBIOCHEM","CHEMBIOCHEM","1439-4227","1439-7633","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.94","N/A",
"CHEMBIOCHEM","CHEMBIOCHEM","1439-4227","1439-7633","CHEMISTRY, MEDICINAL - SCIE","3.94","N/A",
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","0278-0062","1558-254X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","3.939","N/A",
"GENES CHROMOSOMES & CANCER","GENE CHROMOSOME CANC","1045-2257","1098-2264","ONCOLOGY - SCIE","3.937","N/A",
"MOLECULAR PLANT-MICROBE INTERACTIONS","MOL PLANT MICROBE IN","0894-0282","1943-7706","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.928","N/A",
"JOURNAL OF LIPID RESEARCH","J LIPID RES","0022-2275","1539-7262","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.909","N/A",
"EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING","EUR J NUCL MED MOL I","1619-7070","1619-7089","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","3.883","N/A",
"INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY","INT J BIOCHEM CELL B","1357-2725","1878-5875","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.871","N/A",
"ADVANCES IN INORGANIC CHEMISTRY","ADV INORG CHEM","0898-8838","1557-8917","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","3.87","N/A",
"INORGANIC CHEMISTRY","INORG CHEM","0020-1669","1520-510X","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","3.851","N/A",
"ELECTROPHORESIS","ELECTROPHORESIS","0173-0835","1522-2683","BIOCHEMICAL RESEARCH METHODS - SCIE","3.85","N/A",
"ELECTROPHORESIS","ELECTROPHORESIS","0173-0835","1522-2683","CHEMISTRY, ANALYTICAL - SCIE","3.85","N/A",
